lote,id,gerador,tecnica,saida,inventa_sinal,perde_sinal,insere_diagnostico,insere_urgencia_juiz,insere_urgencia_regra,fala_conduta,especie_juiz,especie_regra,juiz
dev,p21,llama3.2:3b,mq_relato,Sintomas respiratórios agudos em gatos Sinais de asfixia em gatos Respiração irregular em gatos,asfixia,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p21,llama3.2:3b,hyde_relato,"""Quadro Clínico: Respiração Irritada Aguda - Gato. O animal apresenta uma respiração irregular e agitada, caracterizada pela boca aberta e a frequência respiratória elevada, com o peito exposto e movimentado rapidamente, indicando dificuldade para manter a respiração. A conduta esperada inclui a avaliação imediata da situação, a aplicação de oxigênio nas vias aéreas, se necessário, e a realização de exames complementares, como radiografias torácicas e análises de sangue, para determinar a causa subjacente, que pode incluir condições respiratórias, como asma, bronquite ou infecções, ou lesões pulmonares. A monitorização cuidadosa do animal e a administração de medicamentos, se necessário, para controlar a respiração e aliviar os sintomas.""",Respiração Irritada Aguda,,Respiração Irritada Aguda;asma;bronquite;infecções;lesões pulmonares,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p22,llama3.2:3b,reescrita,"Cachorro apresentando convulsão convulsiva, movimento espasmódico das pernas, salivação excessiva e micção espontânea, episódio que nunca ocorreu antes.",convulsão convulsiva,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p22,llama3.2:3b,mq_reescrita,convulsão convulsiva em cães: sintomas e causas possíveis sinais de alerta para convulsões em cães: quando procurar ajuda veterinária tratamento de convulsão convulsiva em cães: medicamentos e procedimentos,convulsão convulsiva,,,1,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p22,llama3.2:3b,hyde_reescrita,"""Convulsão Convulsiva Aguda em Cachorro: Descrição Clínica e Conduta Esperada. O cachorro apresenta convulsão convulsiva, caracterizada por movimento espasmódico das pernas, acompanhada de salivação excessiva e micção espontânea. Este episódio é considerado agudo, pois nunca ocorreu antes, e requer imediata atenção veterinária. A conduta esperada inclui a avaliação completa do animal, coleta de amostras para exames laboratoriais, avaliação da função cerebral e controle da convulsão, além de medidas de suporte, como oxigênio e estabilização da pressão arterial, até o estabelecimento de um plano de tratamento adequado.""",convulsão convulsiva,,Convulsão Convulsiva Aguda,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p22,llama3.2:3b,mq_relato,sintomas de paralisia muscular aguda em cães possíveis causas de paralisia muscular em cães sinais de lesão cerebral em cães após queda,paralisia muscular,babou;fez xixi,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p22,llama3.2:3b,hyde_relato,"""Quadro Clínico: Convulsão Seletiva de Pernas (CSPP) - Cachorro. O animal apresenta convulsão seletiva de pernas, caracterizada pela movimentação involuntária e aleatória das pernas, sem sintomas neurolépticos ou convulsões corporais. A convulsão foi acompanhada de uma secreção de urina e uma resposta de estresse, manifestada pela babose. A causa incerta, mas possíveis causas incluem lesões traumáticas, toxinas, infecções ou distúrbios neurológicos. A conduta esperada é a observação contínua, monitoramento da convulsão e coleta de amostras de urina e sangue para exames complementares, além de avaliação da função cerebral e neurológica.""",Convulsão Seletiva de Pernas;sintomas neurolépticos,,Convulsão Seletiva de Pernas,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p23,llama3.2:3b,reescrita,"Cachorro apresentando lesão traumática na patagia, hemorragia não controlada apesar de compressão.",,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p23,llama3.2:3b,mq_reescrita,Lesões traumáticas na patagia em cães hemorragia não controlada em lesões traumáticas manejo de hemorragia não controlada em lesões traumáticas em cães,,corte na pata,,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p23,llama3.2:3b,hyde_reescrita,"**Lesão Traumática na Patagia: Avaliação e Tratamento**   O cachorro apresenta um quadro clínico de lesão traumática na patagia, caracterizado por hemorragia não controlada apesar de compressão. A lesão é classificada como grave, com sinais de sangramento profundo e possíveis complicações como hipovolemia e choque. A conduta esperada inclui a aplicação imediata de compressão e estabilização do animal, seguida de avaliação radiológica para identificar possíveis fraturas ou lesões subjacentes. O tratamento deve ser orientado para controlar a hemorragia, estabilizar o animal e prepará-lo para possível cirurgia, com monitoramento cuidadoso dos sinais vitais e ajustes da terapia conforme necessário.",sangramento profundo,,hipovolemia;choque;fraturas,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p23,llama3.2:3b,mq_relato,sintomas de lesão vascular em cães causas possíveis de hemorragia não contida em cães conduta de emergência para hemorragia não contida em cães,,corte na pata,lesão vascular,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p23,llama3.2:3b,hyde_relato,"""Quadro Clínico: Lesão Contusa - Pata. O animal apresenta uma lesão contusa de magnitude moderada a grave na pata, com uma ferida aberta de aproximadamente 10 cm de comprimento e 5 cm de profundidade, caracterizada por hemorragia intensa e não contida. A ferida apresenta sinais de infecção, como vermelhidão e inchaço circundantes. A conduta esperada inclui imediata aplicação de pressão firmes com um pano limpo e seco, seguida de imunoglobulina anti-tóxica de proteína C (IVIG) e antibióticos orais para prevenir infecção. O animal deve ser monitorado de perto para avaliação da hemorragia e possíveis sinais de infecção, e deve ser levado ao consultório veterinário o mais rápido possível para avaliação e tratamento adequados.""",ferida de 10 cm de comprimento e 5 cm de profundidade;vermelhidão;inchaço,,infecção,1,1,1,mantida,omitida,gemini-3.1-flash-lite
dev,p24,llama3.2:3b,reescrita,"Cachorro macho apresentando cistite recorrente, com frequência urinária aumentada, forca urinária e micção incompleta, caracterizada por pequenas volumes de urina, e comportamento de dor ao tentar urinar.",,,cistite recorrente,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p24,llama3.2:3b,mq_reescrita,Sintomas de cistite crônica em cães machos Diagnóstico de cistite por urina analisada Tratamento para dor e frequência urinária em cães com cistite,,gemendo,cistite crônica,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p24,llama3.2:3b,hyde_reescrita,"**Protocolo Clínico: Cistite Recorrente em Cachorro Macho**  O paciente apresenta quadro clínico caracterizado por cistite recorrente, com sintomas de frequência urinária aumentada, forca urinária, micção incompleta com pequenas volumes de urina e comportamento de dor ao tentar urinar. A conduta esperada inclui avaliação completa do paciente, incluindo exame físico, radiografia urinária e análise de urina para detectar presença de sangue, bactérias ou outros componentes anormais. A terapia medicamentosa com antibióticos, anti-inflamatórios e relaxantes musculares do esfíncter uretral pode ser iniciada, sendo fundamental a monitorização da resposta ao tratamento e ajustes na terapia conforme necessário.",,,cistite recorrente,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p24,llama3.2:3b,mq_relato,Sintomas de dor pélvica aguda em cães Possível lesão ou inflamação nos genitálias do macho Tratamento veterinário para dor pélvica em cães machos,,gemendo,dor pélvica aguda;lesão ou inflamação nos genitálias,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p24,llama3.2:3b,hyde_relato,"""Quadro Clínico: Cistite Urinária Aguda em Cachorro Macho. O animal apresenta comportamento de urinar em posição específica, com frequência e volume reduzido, acompanhado de dor e incomodidade, manifestada por gemido, especialmente após a voidância. Possíveis causas incluem infecção urinária, calculi urinários, lesões na uretra ou próstata, e doenças inflamatórias. A conduta esperada inclui avaliação completa, exame físico, radiografias urinárias, análise de urina, exame de sangue, e, se necessário, tratamento com antibióticos, analgésicos e, em casos graves, cirurgia para remoção de calculi ou tratamento da cistite.""",,,cistite urinária aguda;infecção urinária;calculi urinários;lesões na uretra ou próstata;doenças inflamatórias,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p25,llama3.2:3b,reescrita,"Gato apresentando vômitos recorrentes, diarreia sanguinolenta e comportamento de inatividade, não se movendo ou comendo há mais de 24 horas.",não se movendo ou comendo há mais de 24 horas,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p25,llama3.2:3b,mq_reescrita,sintomas de gastroenterite aguda em gatos causas possíveis de vômitos recorrentes e diarreia sanguinolenta em gatos tratamento de inatividade e falta de apetite em gatos com sintomas gastrointestinais,,vômitos recorrentes,gastroenterite aguda,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p25,llama3.2:3b,hyde_reescrita,"""Vômitos recorrentes, diarreia sanguinolenta e inatividade prolongada em gatos são sintomas clássicos de gastroenterite aguda, que pode ser causada por infecções bacterianas, parasitárias ou virais. A conduta esperada inclui avaliação completa do animal, com exame físico, anamnese detalhada e realização de exames laboratoriais (hematologia, bioquímica, exame de fezes) para determinar a causa subjacente. Em casos graves, pode ser necessário tratamento suporte, como hidratação intravenosa e antibióticos, além de medidas para controlar a diarreia e prevenir a desidratação. Em casos de gastroenterite aguda grave, pode ser necessário hospitalização para monitoramento e tratamento intensivo.""",,,gastroenterite aguda,1,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p25,llama3.2:3b,mq_relato,sintomas de vômito e diarreia sanguinolenta em gatos possíveis causas de vômito e sangramento gastrointestinal em gatos conduta de emergência para vômito e diarreia sanguinolenta em gatos,,vômitos recorrentes,,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p25,llama3.2:3b,hyde_relato,"""Quadro Clínico: Indicativo de Gastroenterite Aguda com Hemorragia. O gato apresenta síntomas de vômitos recorrentes (6 vezes desde ontem à noite), diarreia com presença de sangue, e comportamento de inatividade excessiva, indicando possíveis complicações gastrointestinais. Possíveis causas incluem infecções virais ou bacterianas, alergias alimentares ou gastrointestinais, ou até mesmo lesões no trato gastrointestinal. A conduta esperada inclui monitoramento constante da conduta do animal, coleta de amostras fecais para exame microbiológico e serológico, e administração de medicamentos antieméticos e anti-inflamatórios, se necessário, com orientação veterinária.""",,,gastroenterite aguda com hemorragia;infecções virais ou bacterianas;alergias alimentares ou gastrointestinais;lesões no trato gastrointestinal,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p26,llama3.2:3b,reescrita,"Bulldog apresentando taquipneia, cianose de mucosas e língua azul, possivelmente causado por hipoxia e desidratação devido à exposição prolongada ao calor.",taquipneia;cianose de mucosas;língua azul,cambaleando,hipoxia;desidratação,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p26,llama3.2:3b,mq_reescrita,Sintomas de hipoxia em cães de raça bulldog Causas de cianose de mucosas em cães Tratamento para desidratação e hipoxia em cães de raça bulldog,cianose de mucosas,cambaleando;ofegando muito forte;língua vermelha escura,hipoxia;desidratação,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p26,llama3.2:3b,hyde_reescrita,"""Taquipneia aguda em cães, caracterizada por respiração rápida e frequência respiratória elevada (RR > 40 respirações/min), associada a cianose de mucosas e língua azul, sugere hipoxia e desidratação aguda. A exposição prolongada ao calor é uma causa provável, mas outras possibilidades incluem obstrução respiratória, doenças cardíacas ou respiratórias graves, e reações alérgicas. O tratamento imediato inclui administração de oxigênio, hidratação intravenosa com solução isotônica e monitoramento cuidadoso da conduta, com possíveis intervenções cirúrgicas para obstrução respiratória ou tratamento específico para as causas subjacentes.""",taquipneia;cianose de mucosas;língua azul,cambaleando,hipoxia;desidratação aguda;obstrução respiratória;doenças cardíacas ou respiratórias graves;reações alérgicas,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p26,llama3.2:3b,mq_relato,Sintomas de hipoglicemia em cães após ingestão de alimentos ricos em carboidratos Sinais de estresse e ansiedade em cães após situações de isolamento Reações de hipoglicemia em cães com histórico de obesidade ou diabetes,hipoglicemia;estresse;ansiedade,cambaleando;ofegando muito forte;língua vermelha escura,hipoglicemia;diabetes,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p26,llama3.2:3b,hyde_relato,"""Quadro Clínico: Síndrome de Desidratação Aguda (DSA) em Cão. O animal apresenta sintomas de desidratação, incluindo cambaleio, respiração agitada e língua descolorada, indicando desequilíbrio hídrico grave. Possíveis causas incluem exposição prolongada ao sol, falta de água potável e atividade física intensa. A conduta esperada é imediata atenção veterinária, administração de líquidos intravenosos e monitoramento cuidadoso para evitar complicações, como insuficiência renal ou cardíaca. O animal deve ser levado ao consultório veterinário o mais rápido possível para avaliação e tratamento adequados.""",língua descolorada,língua vermelha escura,síndrome de desidratação aguda;insuficiência renal;insuficiência cardíaca,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p27,llama3.2:3b,reescrita,"Cachorro grande apresentando estreia abdominal aguda, com sintomas de vômito recorrente sem evacuação intestinal.",estreia abdominal aguda;vômito recorrente;sem evacuação intestinal,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p27,llama3.2:3b,mq_reescrita,sintomas de estreia aguda em cães causas possíveis de estreia aguda em cães tratamento de estreia aguda em cães com vômito recorrente,estreia aguda,barriga estufada;tentativa de vômito,,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p27,llama3.2:3b,hyde_reescrita,"""Estreia abdominal aguda em cães: Descrição clínica. O cachorro apresenta estreia abdominal aguda, caracterizada por vômito recorrente sem evacuação intestinal, levando a uma constipação severa. A conduta esperada inclui a avaliação completa do animal, com exame físico e anamnese, seguida de exame de imagem (radiografia abdominal) para identificar possíveis causas, como obstrução intestinal, entupimento intestinal ou outras condições gastrointestinais. A administração de antieméticos e laxantes pode ser necessária para controlar os sintomas, mas a conduta de tratamento deve ser individualizada e baseada nos resultados do exame de imagem e na evolução clínica do animal.""",estreia abdominal aguda;vômito recorrente;sem evacuação intestinal;constipação severa,quieto;não latindo,obstrução intestinal;entupimento intestinal,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p27,llama3.2:3b,mq_relato,Sintomas de vômito sem evacuação em cães Barriga estufada em cães: possíveis causas Sintomas de dor abdominal em cães,dor abdominal,quieto;não latindo;tentativa de vômito,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p27,llama3.2:3b,hyde_relato,"""Quadro Clínico: Indigestão Aguda em Cachorro Adulto. O animal apresenta comportamento de desidratação, falta de apetite e silencio, acompanhado de estreitamento do abdômen e episódios de vômito. Possíveis causas incluem: gastroenterite viral, parasitário ou bacteriana, reflução gastroesofágica, obstrução intestinal ou pancreatite aguda. A conduta esperada inclui: avaliação completa do animal, coleta de amostras fecais e urinárias para diagnóstico, administração de fluidos intravenosos para reidratação, monitoramento constante da conduta e do quadro clínico, e possivelmente, procedimentos de suporte, como antieméticos e analgésicos, conforme necessário.""",desidratação;falta de apetite;silencio;estreitamento do abdômen,barriga estufada;tentativa de vômito,Indigestão Aguda;gastroenterite viral;parasitário;bacteriana;reflução gastroesofágica;obstrução intestinal;pancreatite aguda,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p28,llama3.2:3b,reescrita,"Gato filhote, nascido há 4 dias, apresentando seca da pele, frio ao toque e recusa de alimentação, possivelmente com suspeita de hipotermia ou desidratação.",seca da pele,,hipotermia;desidratação,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p28,llama3.2:3b,mq_reescrita,sinais de hipotermia em gatos filhotes sintomas de desidratação em gatos tratamento de seca da pele em gatos recém-nascidos,seca da pele,não está mamando,hipotermia;desidratação,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p28,llama3.2:3b,hyde_reescrita,"""Desidratação aguda em gatos filhotes: Descreve-se um gato filhote de 4 dias de idade apresentando seca da pele, frio ao toque e recusa de alimentação, sugestivo de hipotermia ou desidratação. A conduta esperada inclui avaliação imediata da situação, administração de solução isotônica de sal (0,9% de NaCl) intravenosa para reestabilização do equilíbrio hidroeletrolítico, alongamento de cordas e articulações para facilitar a respiração e a circulação, e monitoramento constante da temperatura corporal e do estado de consciência. A alimentação deve ser reestabelecida com uma solução de leite materno ou substituto, se disponível, e o gato deve ser mantido em um ambiente aquecido e seco para evitar a perda de calor.""",seca da pele;alongamento de cordas e articulações,,Desidratação aguda;hipotermia,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p28,llama3.2:3b,mq_relato,Sintomas de hipotermia em filhotes de gato Sinais de desidratação em filhotes de gato Reações de abstinência de leite materno em filhotes de gato,Reações de abstinência de leite materno,molinho;gelado,hipotermia;desidratação,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p28,llama3.2:3b,hyde_relato,"""Quadro clínico: filhote de gato de quatro dias, apresenta hipertermia (temperatura corporal elevada), inchaço e edema, além de diminuição significativa da atividade e da ingestão de leite materno. Possíveis causas incluem infecção fúngica, bactérica ou viral, ou lesão traumática. A conduta esperada inclui monitoramento contínuo da temperatura corporal, observação da conduta e da ingestão de leite, administração de antibióticos ou antifúngicos, se necessário, e consultas regulares com o veterinário para avaliação e ajuste do tratamento.""",hipertermia;inchaço;edema,molinho;gelado;não está mamando,infecção fúngica;bactérica;viral;lesão traumática,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p29,llama3.2:3b,reescrita,"Cachorro apresentando paralisia muscular aguda, dor intensa e incapacidade de se levantar, com sintomas que podem indicar lesão ou trauma ao músculo esquelético.",paralisia muscular aguda,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p29,llama3.2:3b,mq_reescrita,paralisia muscular aguda em cães: sintomas e causas possíveis diagnóstico de lesão ou trauma ao músculo esquelético em cães conduta de tratamento para paralisia muscular aguda em cães,paralisia muscular aguda,gritando de dor,,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p29,llama3.2:3b,hyde_reescrita,"""Paralisia muscular aguda: Cachorro apresenta paralisia muscular aguda, caracterizada por uma perda repentina e irreversível da função muscular, com dor intensa e incapacidade de se levantar. Os sintomas incluem fraqueza muscular, incoordenação e instabilidade, sugerindo lesão ou trauma ao músculo esquelético. A conduta esperada inclui avaliação completa do animal, incluindo exame físico e radiografias, para determinar a causa subjacente, que pode variar de lesões musculares a fraturas, luxações ou entorses. O tratamento deve ser individualizado, mas geralmente inclui repouso, analgesia, fisioterapia e, se necessário, intervenção cirúrgica para reparar a lesão.""",paralisia muscular aguda;perda irreversível da função muscular;fraqueza muscular;incoordenação;instabilidade,,fraturas;luxações;entorses,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p29,llama3.2:3b,mq_relato,Sintomas de paralisia muscular aguda em cães Sinais de lesão vertebral em cães Sintomas de dor intensa em cães,paralisia muscular aguda,não consegue ficar em pé,lesão vertebral,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p29,llama3.2:3b,hyde_relato,"""Quadro Clínico: Paralisia Muscular Aguda (PMA) - Cachorro. O animal apresenta paralisia muscular aguda, caracterizada pela perda repentina e irreversível da função muscular, com manifestação de dor intensa e incapacidade de levantar as patas traseiras. A conduta esperada inclui a imediata apresentação ao veterinário, com foco na avaliação clínica e diagnóstico, possíveis causas incluem lesões traumáticas, infecções, doenças neurológicas ou reações adversas a medicamentos. O tratamento deve ser orientado pela avaliação clínica, com possíveis intervenções como analgesia intensiva, suporte vital, avaliação de lesões internas e, se necessário, intervenção cirúrgica.""",Paralisia Muscular Aguda;perda irreversível da função muscular,,infecções;doenças neurológicas,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p30,llama3.2:3b,reescrita,"Cachorro apresentando lesão na narina, possível exposição a veneno de rato, com sintoma de hemorragia nasal.",lesão na narina,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p30,llama3.2:3b,mq_reescrita,Lesões na narina em cães causadas por veneno de rato sintomas de hemorragia nasal em cães expostos a veneno de rato tratamento de hemorragia nasal aguda em cães com exposição a veneno de rato,Lesões na narina,,,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p30,llama3.2:3b,hyde_reescrita,"""Lesão nasal aguda em cão: sintomas e tratamento. O cachorro apresenta uma lesão nasal aguda, caracterizada por hemorragia nasal e possível exposição a veneno de rato, sugerindo uma lesão por envenenamento. O quadro clínico inclui sintomas como dor nasal, hemorragia nasal persistente, secreção nasal descolorada e, em casos graves, dificuldade respiratória. A conduta esperada inclui avaliação completa do animal, coleta de amostras para diagnóstico e tratamento com suporte vital, medicamentos anti-inflamatórios e, se necessário, administração de antidoto específico para veneno de rato. Monitoramento cuidadoso é essencial para evitar complicações, como infecção nasal ou lesão cerebral.""",Lesão nasal aguda;dor nasal;secreção nasal descolorada;dificuldade respiratória,,lesão por envenenamento;infecção nasal;lesão cerebral,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p30,llama3.2:3b,mq_relato,Sintomas de sangramento nasal agudo em cães Possíveis causas de sangramento nasal em cães Sinais de veneno de rato em cães,,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p30,llama3.2:3b,hyde_relato,"""Quadro Clínico: Suspeita de Exposição a Veneno de Rato. O cachorro apresenta sintomas de lesão respiratória, com hemorragia nasal (sangue saindo do nariz) e possivelmente outros sintomas como dificuldade respiratória, convulsões e paralisia muscular. As causas possíveis incluem exposição a veneno de rato, como a saborina ou a warfarina, que podem causar danos ao sistema nervoso e ao sistema circulatório. A conduta esperada inclui avaliação imediata do animal, realização de exames clínicos completos, incluindo radiografias e análises de sangue, e administração de suporte vital, como oxigênio e monitoramento cardíaco, com o objetivo de prevenir complicações e garantir a estabilidade do paciente.""",lesão respiratória;dificuldade respiratória;convulsões;paralisia muscular,,saborina;warfarina,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p31,llama3.2:3b,reescrita,"Gato apresentando dor, lesão na gengiva e cor alterada das orelhas, possivelmente causada por ingestão de paracetamol.",lesão na gengiva,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p31,llama3.2:3b,mq_reescrita,sintomas de lesão bucal causada por paracetamol em gatos efeitos da paracetamol no sistema nervoso de gatos tratamento veterinário para lesão bucal e alterações cutâneas causadas por paracetamol em gatos,lesão bucal;alterações cutâneas,dor;gengiva arroxeada;orelhas arroxeadas,,0,0,1,mantida,ok,gemini-3.1-flash-lite
