id,text,species,expected_class,expected_urgency,topic,tone,author_model,author_severe_sign,marked_by
i12,"Meu gato estava brincando com um barbante e agora parece que engasgou. Ele está tentando tossir, fazendo força e a língua está ficando roxa.",gato,EMERGENCIA,imediato,airway_foreign_body_choking,neutro,gemma-4-31b-it,língua roxa,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i13,"O Totó comeu um pouquinho daquela isca de rato que coloquei no quintal, mas ele é forte. Só notei que tá saindo um sanguezinho do nariz dele agora, mas deve ser só um machucado.",cao,EMERGENCIA,imediato,anticoagulant_rodenticide_poisoning,calmo,gemma-4-31b-it,sangramento nasal,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i14,"Pelo amor de Deus, meu gato tá sofrendo demais! Ele fica horas na caixinha, grita de dor e não sai nem uma gota de xixi! É um pesadelo, socorro!!",gato,EMERGENCIA,imediato,urethral_obstruction,aflito,gemma-4-31b-it,ausência de urina e gritos de dor,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i15,"Ganhei um vaso de lírio e a gata deu umas mordidas nas folhas. Ela vomitou um pouco e agora não consegue nem levantar, mas acho que é só sono.",gato,EMERGENCIA,imediato,lily_toxicosis_cats,calmo,gemma-4-31b-it,vômito seguido de letargia profunda,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i16,"Notei que minha gata está respirando com a boca aberta, igual cachorro. A barriga dela sobe e desce muito rápido e ela não quer comer.",gato,EMERGENCIA,imediato,respiratory_distress,neutro,gemma-4-31b-it,respiração bucal e esforço abdominal,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i17,"O meu gato já tem diabetes e hoje ele não quis comer a ração especial. O hálito dele tá com um cheiro estranho, meio doce, mas deve ser normal da idade.",gato,EMERGENCIA,imediato,diabetic_ketoacidosis,calmo,gemma-4-31b-it,hálito com cheiro doce/acetônico,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i18,"Gente, eu passei o remédio de pulga do cachorro no meu gato por erro e agora ele tá tendo convulsões! Ele tá tremendo todo, tá horrível de ver, me ajudem por favor!!",gato,EMERGENCIA,imediato,permethrin_toxicosis_cats,aflito,gemma-4-31b-it,convulsões e tremores,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i19,"Oi, o Thor tá com um vômito e um cocô mole desde ontem, mas acho que foi aquele petisco novo. Ele tá bem quietinho, nem quis levantar agora, mas deve ser só um mal estar. Tem um pouco de sangue no cocô, mas passa logo.",cao,EMERGENCIA,imediato,vomiting_and_diarrhea,calmo,gemma-4-31b-it,sangue no cocô,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i20,"Meu cachorro começou a tentar vomitar agora há pouco, mas não sai nada. A barriga dele parece que está inchada e dura. Ele está bem agitado e não consegue deitar.",cao,EMERGENCIA,imediato,gastric_dilatation_volvulus,neutro,gemma-4-31b-it,tentar vomitar mas não sai nada,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i21,"A Mimi roubou um pedaço de tempero da cozinha ontem, mas não deve ter sido muita coisa. Ela está meio preguiçosa hoje e notei que a gengiva dela está bem branquinha. Amanhã eu vejo se ela melhora.",gato,EMERGENCIA,imediato,allium_toxicosis,calmo,gemma-4-31b-it,gengiva bem branquinha,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i22,"MEU DEUS, o Max tá morrendo! Ele ficou no sol um pouco e agora tá ofegante demais, a língua tá roxa e ele desmaiou aqui no chão! Por favor, me digam o que fazer agora, eu tô desesperada!",cao,EMERGENCIA,imediato,canine_heatstroke,aflito,gemma-4-31b-it,língua roxa e desmaio,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i23,"O Bob tá meio desanimado e não quer comer a ração, deve ser esse calor. A gengiva dele tá bem pálida, mas ele dorme muito mesmo. Vou esperar até segunda pra levar no vet.",cao,EMERGENCIA,imediato,tick_borne_disease_anemia,calmo,gemma-4-31b-it,gengiva bem pálida,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i24,"Meu filhote de Yorkshire não comeu direito hoje. Agora ele começou a tremer muito e parece que apagou, não acorda nem quando eu chamo.",cao,EMERGENCIA,imediato,hypoglycemia_toy_puppy,neutro,gemma-4-31b-it,não acorda,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i25,"O Totó comeu alguma coisa no quintal e tá com uns tremores estranhos nas patas. Ele deu uma convulsão rápida agora, mas já passou, acho que foi só um susto. Vou observar ele mais um pouco.",cao,EMERGENCIA,imediato,carbamate_organophosphate_poisoning,calmo,gemma-4-31b-it,convulsão,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i26,"SOCORRO! O Luna do nada não consegue mais andar com as patas de trás! Ele tá arrastando tudo e as patinhas estão geladas, eu tô em pânico, ele tá sofrendo muito!",gato,EMERGENCIA,imediato,acute_hindlimb_paralysis,aflito,gemma-4-31b-it,patinhas geladas,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i27,"O gato caiu da janela do apartamento, mas ele levantou logo depois. Só que agora ele tá respirando com a boca aberta, meio ofegante, mas deve ter sido só o susto da queda.",gato,EMERGENCIA,imediato,high_rise_syndrome_cats,calmo,gemma-4-31b-it,respirando com a boca aberta,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i28,Meu gato parou de andar com as patas de trás do nada agora há pouco. Notei que as patinhas dele estão bem geladas e ele parece incomodado.,gato,EMERGENCIA,imediato,feline_aortic_thromboembolism,neutro,gemma-4-31b-it,patas traseiras geladas e paralisia súbita,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i29,"O Totó comeu um pedaço de bolo e a cara dele inchou toda, tá parecendo um balão. Acho que é só uma alergia boba, mas ele tá fazendo um barulhinho estranho pra respirar.",cao,EMERGENCIA,imediato,anaphylaxis_facial_swelling,calmo,gemma-4-31b-it,dificuldade respiratória,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i30,"SOCORRO! Meu gato comeu um pedaço de linha e agora não para de vomitar tudo, até a água! Eu tô desesperado, ele tá largadão e eu acho que ele vai morrer!",gato,EMERGENCIA,imediato,gastrointestinal_foreign_body,aflito,gemma-4-31b-it,vômitos incoercíveis,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i31,"O doguinho tá com uns tremorzinhos na cara, parece que tá piscando rápido. Deve ser só cansaço ou frio, não acho que seja nada sério, vou esperar até segunda.",cao,EMERGENCIA,imediato,distemper_neurological,calmo,gemma-4-31b-it,mioclonia facial,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i32,"Meu gato saiu no quintal e acho que foi picado por algo, porque a pata dele tá muito inchada. Ele começou a babar bastante e agora não consegue levantar.",gato,EMERGENCIA,imediato,snake_and_scorpion_envenomation,neutro,gemma-4-31b-it,sialorreia e prostração severa,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i33,"O filhote teve um cocô com sangue hoje, mas ele deve ter comido algo ruim na rua. Ele tá meio quietinho, mas acho que é só sono e melhora amanhã.",cao,EMERGENCIA,imediato,parvovirus_panleukopenia,calmo,gemma-4-31b-it,diarreia hemorrágica,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i34,"MEU DEUS, O MAX tá morrendo! Ele não consegue respirar, tá com a língua roxa e fazendo um esforço enorme com a barriga pra puxar o ar!",cao,EMERGENCIA,imediato,congestive_heart_failure,aflito,gemma-4-31b-it,cianose de língua,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i35,"O cachorro caiu no chão, começou a tremer tudo e a babar, mas já passou. Acho que foi só um susto ou ele ficou tonto, não vejo motivo pra correr agora.",cao,EMERGENCIA,imediato,seizures,calmo,gemma-4-31b-it,crise convulsiva,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i36,"Um dos gatinhos nasceu hoje, mas não quer mamar de jeito nenhum. Percebi que ele está bem geladinho e quase não mia.",gato,EMERGENCIA,imediato,fading_neonate,neutro,gemma-4-31b-it,hipotermia em neonato,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i37,"Oi, minha cadela teve filhotes semana passada e agora começou a tremer uns músculos da perna e tá meio durinha. Acho que é só cansaço de amamentar, né? Amanhã eu vejo se ela melhora.",cao,EMERGENCIA,imediato,eclampsia,calmo,gemma-4-31b-it,tremer uns músculos da perna e tá meio durinha,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i38,"MEU DEUS, o Totó comeu uma barra de chocolate inteira e agora tá disparado pela casa, não para um segundo e começou a vomitar! Eu tô desesperada, ele vai morrer, por favor me digam o que fazer agora!!",cao,EMERGENCIA,imediato,chocolate_toxicosis,aflito,gemma-4-31b-it,"disparado pela casa, não para um segundo e começou a vomitar",IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i39,"Gente, socorro, meu gato entrou numa briga horrível e tá com um rasgo na orelha! Eu tô em choque, acho que ele foi dilacerado, é terrível ver ele assim!",gato,NAO_EMERGENCIA,ate_24h,cat_bite_abscess,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i40,"Olá, achei meu gato hoje com um furinho pequeno no pescoço e vi um morcego voando perto da janela. Ele tá agindo normal, mas queria saber se precisa de algo.",gato,NAO_EMERGENCIA,ate_24h,rabies_exposure_wild_animal_bite,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i41,"Meu gato não para de coçar a orelha e eu vi que tá meio escura por dentro, isso é pavoroso! Tenho medo de ser alguma coisa incurável que vai tirar a audição dele, socorro!",gato,NAO_EMERGENCIA,rotina,otitis_externa_mild,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i42,"Oi, notei que a Mimi tá comendo menos ração esses dias. Fora isso ela tá brincando normal e usando a caixinha de areia certinho.",gato,NAO_EMERGENCIA,ate_24h,reduced_appetite_no_other_signs,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i43,"O hálito do meu cachorro tá insuportável, parece que ele comeu algo podre! E os dentes estão amarelos, eu tô apavorada que ele perca tudo e fique sem comer, é desesperador!",cao,NAO_EMERGENCIA,rotina,periodontal_disease_mild,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i44,"Meu cachorro vomitou uma vez hoje cedo, mas logo depois já quis brincar com a bolinha. As fezes ficaram um pouco moles, mas ele tá bem animado.",cao,NAO_EMERGENCIA,rotina,single_vomiting_or_mild_diarrhea,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i45,"Meu gato acordou com o olho vermelhinho e uma remela estranha, eu tô em pânico! Tenho certeza que é uma infecção terrível que vai deixar ele cego, me ajudem por favor!",gato,NAO_EMERGENCIA,ate_24h,mild_conjunctivitis,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i46,"Oi, meu cachorro tá com uns tremores leves nas patinhas faz uns dez minutos. Ele comeu a ração normal e tá bem disposto, mas tá tremendo assim. É normal?",cao,NAO_EMERGENCIA,rotina,tremors_without_seizure,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i47,"Gente, socorro! Meu velhinho tá travado pra levantar do sofá, parece que tá sofrendo demais! Tô desesperada, acho que ele não consegue mais andar direito!",cao,NAO_EMERGENCIA,rotina,osteoarthritis_stiffness,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i48,Boa tarde. Notei que minha gata tá bebendo muito mais água que o normal esses dias. A caixa de areia também tá ficando cheia bem mais rápido.,gato,NAO_EMERGENCIA,ate_24h,polyuria_polydipsia_investigate,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i49,"Meu Deus, meu cachorro tá se coçando horrivelmente, não para um segundo! A pele tá toda vermelha, isso deve estar doendo demais, estou em pânico!",cao,NAO_EMERGENCIA,rotina,flea_dermatitis_pruritus,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i50,"Oi, meu cachorro começou a espirrar algumas vezes hoje e tá com o nariz meio molhadinho. Ele tá comendo e brincando normal.",cao,NAO_EMERGENCIA,rotina,mild_upper_respiratory_signs,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i51,"Socorro, meu cachorro deu um passinho errado e agora tá mancando! Tenho certeza que ele quebrou a pata, tô desesperada com isso, me ajudem!",cao,NAO_EMERGENCIA,ate_24h,mild_lameness,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i52,"Oi, toda vez que volto do passeio com meu cão, ele fica bem ofegante por um tempo. Ele descansa na sombra e logo volta ao normal.",cao,NAO_EMERGENCIA,rotina,exertional_panting_mild,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i53,"Achei um carocinho no corpo do meu cachorro e estou apavorada! Deve ser alguma coisa terrível que tá crescendo, não consigo nem dormir pensando nisso!",cao,NAO_EMERGENCIA,rotina,slow_growing_lump,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i54,"Oi, fui dar banho no meu cachorro e vi que ele tá com alguns carrapatos no pescoço. Ele tá agindo normal e não parece incomodado.",cao,NAO_EMERGENCIA,rotina,ticks_found_no_signs,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i55,"SOCORRO!! Minha gatinha tá agindo muito estranho, tá procurando lugar pra se esconder e não para de miar! Eu tô desesperado, acho que ela tá morrendo ou algo terrível tá acontecendo!",gato,NAO_EMERGENCIA,rotina,normal_whelping,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i56,"Oi, meu gato começou a fazer xixi no tapete da sala hoje. Ele também tá indo na caixinha mais vezes que o normal, mas parece bem.",gato,NAO_EMERGENCIA,ate_24h,inappropriate_urination_or_cystitis,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i57,"GENTE, PELO AMOR DE DEUS! O Thor se cortou num galinho no quintal e tá saindo um pouquinho de sangue! É uma tragédia, ele vai infeccionar tudo, me ajudem agora!",cao,NAO_EMERGENCIA,ate_24h,minor_wound,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i58,"Boa tarde. Meu cachorro acabou comendo um pedaço de pão com passas que caiu no chão. Ele tá normal, brincando e comendo a ração dele.",cao,NAO_EMERGENCIA,ate_24h,dietary_indiscretion_mild,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i59,"MEU DEUS, A MEL ESTÁ SANGRANDO!! Tem sangue na caminha dela e ela tá super agitada, não consigo acreditar nisso! Por favor, me digam que ela não tá com uma hemorragia fatal!",cao,NAO_EMERGENCIA,rotina,normal_estrus,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i60,"Oi, meu cachorro começou a tossir um pouco hoje, parece que tem algo preso na garganta. Ele foi no creche ontem, mas tá comendo e bebendo água normal.",cao,NAO_EMERGENCIA,ate_24h,kennel_cough_mild,neutro,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i61,ESTOU EM PÂNICO! Apareceu um caroço vermelho na pata do meu cachorro e ele não para de lamber! Deve ser algum bicho venenoso e ele vai ter um choque anafilático!,cao,NAO_EMERGENCIA,rotina,insect_sting_local_reaction,aflito,gemma-4-31b-it,,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
j01,"Meu cachorro tá bebendo água sem parar e fazendo xixi no chão toda hora, mas acho que é só o calor. Ele tá respirando de um jeito bem estranho e rápido, mas deve passar logo, né?",cao,EMERGENCIA,imediato,diabetic_ketoacidosis,calmo,gemini-3.1-flash-lite,respiração rápida e ofegante,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j02,"Socorro, meu cachorro não para de vomitar um líquido com sangue e tá totalmente sem vida, não levanta nem pra beber água! Eu tô desesperado, ele vai morrer, o que eu faço agora?",cao,EMERGENCIA,imediato,parvovirus_panleukopenia,aflito,gemini-3.1-flash-lite,vômito com sangue e prostração extrema,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j03,"O cachorro comeu algo no quintal e tá babando um pouco, mas ele ainda brinca. Acho que não é nada demais, vou esperar ele dar uma dormida pra ver se melhora.",cao,EMERGENCIA,imediato,carbamate_organophosphate_poisoning,calmo,gemini-3.1-flash-lite,sialorreia (salivação excessiva),IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j04,"Meu gato comeu um comprimido que caiu no chão e agora ele começou a tremer muito e parece estar tendo um ataque, não consegue nem ficar de pé.",gato,EMERGENCIA,imediato,human_medication_poisoning,neutro,gemini-3.1-flash-lite,tremores e perda de coordenação motora,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j05,"O gato vomitou um fio que tinha engolido, mas agora ele não quer comer e tá bem quietinho no canto. Acho que ele só tá com dor de barriga e logo volta ao normal.",gato,EMERGENCIA,imediato,gastrointestinal_foreign_body,calmo,gemini-3.1-flash-lite,anorexia após ingestão de corpo estranho,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j06,"Meu cachorro comeu um resto de comida com alho e agora a gengiva dele tá totalmente branca, parece um fantasma! Estou em pânico, ele tá muito fraco e não consegue nem andar direito, isso é gravíssimo!",cao,EMERGENCIA,imediato,allium_toxicosis,aflito,gemini-3.1-flash-lite,mucosas pálidas e fraqueza intensa,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j07,"Meu gato apareceu com o rosto meio inchado, deve ter levado uma picada de algum bicho no jardim. Não tá nada grave, ele tá agindo normal, só um pouco inchadinho mesmo.",gato,EMERGENCIA,imediato,snake_and_scorpion_envenomation,calmo,gemini-3.1-flash-lite,edema facial,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j08,"O olho do meu gato está saltado para fora e parece que a íris mudou de lugar, saindo um pouco do lugar. Ele não está abrindo o olho e parece estar com muita dor.",gato,EMERGENCIA,imediato,ocular_emergency,neutro,gemini-3.1-flash-lite,proptose ocular,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j09,"Meu filhotinho tava brincando e do nada deitou e não quis mais saber de nada, tá bem molinho. Deve ser só sono porque brincou muito, vou deixar ele descansar um pouco que logo acorda.",cao,EMERGENCIA,imediato,hypoglycemia_toy_puppy,calmo,gemini-3.1-flash-lite,apatia profunda e prostração,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j10,"Meu cachorro tá desesperado tentando fazer xixi há horas, sai só um pinguinho de sangue e ele tá gritando de tanta dor! Tô em pânico, ele tá tremendo todo e parece que vai explodir, me ajudem urgente pelo amor de Deus!",cao,EMERGENCIA,imediato,urethral_obstruction,aflito,gemini-3.1-flash-lite,tentar urinar sem sucesso com presença de dor extrema e sangue,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j11,"Meu gato mastigou uma folha de um lírio que ganhei ontem, mas ele tá super bem, só vomitou um pouco. Acho que não é nada, deve ter sido só mal-estar e logo ele melhora, nem precisa levar agora né?",gato,EMERGENCIA,imediato,lily_toxicosis_cats,calmo,gemini-3.1-flash-lite,vômito após ingestão de planta tóxica,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j12,"Meu cachorro está muito prostrado desde ontem e notei que a urina dele está com uma cor bem escura, quase marrom. Ele parou de comer e está com os olhos amarelados, preciso saber o que fazer.",cao,EMERGENCIA,imediato,leptospirosis_acute,neutro,gemini-3.1-flash-lite,icterícia e urina escura,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j13,"O gato deitou ali no canto e parece que as patas traseiras não estão mexendo, ele fica miando baixo de vez em quando. Deve ter dormido de mau jeito ou levado um susto, vou esperar ver se ele levanta sozinho.",gato,EMERGENCIA,imediato,feline_aortic_thromboembolism,calmo,gemini-3.1-flash-lite,paralisia dos membros posteriores,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j14,"Socorro, meu gato foi atropelado e tá saindo muito sangue da boca dele, ele tá respirando muito estranho e não para de sair sangue! Tô desesperada, ele tá quase desmaiando, o que eu faço agora?",gato,EMERGENCIA,imediato,trauma_and_bleeding,aflito,gemini-3.1-flash-lite,hemorragia ativa e dificuldade respiratória após trauma,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j15,"Meu cachorro mordeu o fio da luminária e deu um estalo, ficou com a boca meio queimada e babando um pouco. Acho que foi só um susto, ele já tá andando pela casa, nem precisa de médico agora.",cao,EMERGENCIA,imediato,burns_and_electrical_injury,calmo,gemini-3.1-flash-lite,lesão por queimadura elétrica,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j16,"Faz três dias que meu gato não para de vomitar e está com diarreia líquida, ele quase não levanta mais. Ele parou de beber água e parece bem fraquinho, preciso de orientação.",gato,EMERGENCIA,imediato,vomiting_and_diarrhea,neutro,gemini-3.1-flash-lite,prostração intensa e desidratação por vômitos e diarreia persistentes,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j17,"Ele teve um ataque, ficou batendo as pernas e babando um pouco, mas depois de um minuto já estava normal. Acho que foi só um pesadelo ou ele se assustou com o barulho, vou deixar ele descansar e depois vejo se melhora.",cao,EMERGENCIA,imediato,seizures,calmo,gemini-3.1-flash-lite,episódio de convulsão,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j18,"Meu cachorro tá tendo uns espasmos horríveis na cabeça e não para de babar, ele tá virando os olhos e é um pesadelo ver isso! Tô desesperada, parece que ele tá perdendo o controle do corpo inteiro, o que eu faço meu Deus?",cao,EMERGENCIA,imediato,distemper_neurological,aflito,gemini-3.1-flash-lite,espasmos musculares involuntários e perda de consciência,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j19,"Oi, meu gato tá com o focinho e os olhos bem inchados, parece até que tomou uma picada de abelha. Ele tá respirando um pouco barulhento, mas acho que é só uma reação boba que vai passar logo, né?",gato,EMERGENCIA,imediato,anaphylaxis_facial_swelling,calmo,gemini-3.1-flash-lite,respiração barulhenta,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j20,"Minha cachorra tá tentando parir faz umas três horas, ela faz muita força mas só sai um pedacinho da bolsa e não nasce nada. Ela tá bem cansada e ofegante, não sei o que fazer agora.",cao,EMERGENCIA,imediato,dystocia,neutro,gemini-3.1-flash-lite,trabalho de parto prolongado sem progressão,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j21,"Meu cachorro pegou um sapo no quintal e começou a babar uma espuma grossa, mas ele já tá brincando de novo. Acho que não é nada demais, só deve ter ficado com gosto ruim na boca.",cao,EMERGENCIA,imediato,toad_bufotoxin_poisoning,calmo,gemini-3.1-flash-lite,salivação excessiva (espumosa),IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
j22,"Socorro, meu gato tá tendo um ataque horrível, ele não para de tremer o corpo todo e tá tendo umas convulsões desesperadoras! Eu passei aquele remédio de pulga ontem e agora ele tá salivando muito, tô em pânico total!",gato,EMERGENCIA,imediato,permethrin_toxicosis_cats,aflito,gemini-3.1-flash-lite,convulsões,IA (gemini-3.1-flash-lite) - rotulo = urgencia do mapa; nao validado
