index,animal,relato,expected,predicted,correct,json_valid,source,raw_response
10,Dog,"Animal: Dog. Sintomas observados: Short Term Lethargy, Appetite Loss, Weekness In The Back Legs, Rapid Heart Rate, Week Pulse.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O relato do tutor apresenta sintomas graves e agudos como letargia curta, perda de apetite, fraqueza nos membros traseiros, taquicardia e taquopnea, indicando uma situação médica grave que requer atenção veterinária imediata."",
  ""sinais_de_alerta"": [
    ""Lethargy"",
    ""Loss of Appetite"",
    ""Weakness in the back legs"",
    ""Rapid Heart Rate"",
    ""Weak Pulse""
  ],
  ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível para avaliação e tratamento adequados.""
}"
11,Dog,"Animal: Dog. Sintomas observados: Swollen Lymph Nodes, Difficulty Walking, Back Pain, Lethargy, Vaginal Discharge.",EMERGENCIA,EMERGENCIA,True,True,original,"{
    ""classificacao"": ""EMERGENCIA"",
    ""justificativa"": ""Observação de sintomas graves como dor de costas e letargia, combinados com outras condições como linfadenomegalia e secreção vaginal, que podem indicar problemas sérios de saúde."",
    ""sinais_de_alerta"": [""Dor de costas"", ""Letargia"", ""Linfadenomegalia"", ""Secreção vaginal""],
    ""recomendacao"": ""Consulte um veterinário especializado o mais rápido possível para avaliar a situação e tomar medidas necessárias.""
}"
12,Dog,"Animal: Dog. Sintomas observados: Fever, Diarrhea, Abdominal Pain, Stiffness, Severe Weekness And Depression.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como febre, diarreia, dor abdominal e rigidez muscular, além de fraqueza extrema e depressão. Esses sintomas indicam uma condição médica grave que requer imediata atenção veterinária."",
  ""sinais_de_alerta"": [""Fever"", ""Diarrhea"", ""Abdominal Pain"", ""Stiffness"", ""Severe Weakness And Depression""],
  ""recomendacao"": ""Levar o animal ao centro de triagem veterinária o mais rápido possível para avaliação e tratamento adequados.""}"
13,Dog,"Animal: Dog. Sintomas observados: Fever, Appetite Loss, Reduce Energy, Lameness, Swelling Of Joints.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como febre, perda de apetite, redução da energia e lamessura, além de inchaço nos joelhos, o que indica uma condição médica séria que requer atenção veterinária imediata."",
  ""sinais_de_alerta"": [""Fever"", ""Perda de apetite"", ""Redução da energia"", ""Lamessura"", ""Inchaço nos joelhos""],
  ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível para avaliação e tratamento adequados.""
}"
14,Dog,"Animal: Dog. Sintomas observados: Fever, Chronic Eye Inflamation, Poor Appetite, Lethargy, Neurologic Abnormalities.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Sintomas graves e possíveis complicações que requerem atenção veterinária imediata."",
  ""sinais_de_alerta"": [
    ""Fever"",
    ""Inflamação ocular crônica"",
    ""Péssima apetite"",
    ""Lethargia"",
    ""Anormalidades neurológicas""
  ],
  ""recomendacao"": ""Avise um veterinário imediatamente para avaliação e tratamento adequados.""
}"
15,Dog,"Animal: Dog. Sintomas observados: Fever, Swelling Of Face Or Leg, Poor Appetite, Depression, Pain.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas graves observados em um cão, incluindo febre, inchaço facial e pericial, falta de apetite e depressao. Isso sugere uma condi\u00e7\u00e3o grave que requer imediata aten\u00cd\u00e3o veterinária."", ""sinais_de_alerta"": [""Fever"", ""Swelling Of Face Or Leg"", ""Poor Appetite"", ""Depression""], ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível para avalia\u00c3\u00e3o e tratamento adequados.""}"
16,Dog,"Animal: Dog. Sintomas observados: Diarrhea With Muscus, Tensemus, Watery Stool, Flatulence, Pain.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O relato apresenta sintomas graves e imediatos que podem indicar uma condição grave como gastroenterite aguda ou doença intestinal, exigindo atenção veterinária imediata."",
  ""sinais_de_alerta"": [""Diarrhea"", ""Tensemus"", ""Flatulence""],
  ""recomendacao"": ""Ligue imediatamente para um serviço de emergência veterinária ou leve o animal ao hospital veterinário mais próximo""
}"
17,Dog,"Animal: Dog. Sintomas observados: Strong Cough, Runny Nose, Sneezing, Lethargy, Loss Of Appettite.",EMERGENCIA,EMERGENCIA,True,True,original,"{
    ""classificacao"": ""EMERGENCIA"",
    ""justificativa"": ""O animal apresenta sintomas graves como tosse severa, nariz arrugada e falta de apetite, indicando uma condição potencialmente grave."",
    ""sinais_de_alerta"": [""Cofeita forte"", ""Nariz úmida"", ""Sneezing"", ""Lethargy"", ""Péssima Appetite""],
    ""recomendacao"": ""Levar o animal a um veterinário imediatamente para avaliação e tratamento.""
}"
18,Dog,"Animal: Dog. Sintomas observados: Fever, Inflammed Eye, Coughing, Depression, Limping.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O animal apresenta sintomas graves como febre, olho inflamado e tosse, além de sinais de depressao e incapacidade de mover-se (limpeza). Isso pode indicar uma condição grave que requer intervencao imediata."", ""sinais_de_alerta"": [""febre"", ""olho inflamado"", ""tosse"", ""depressao"", ""incapacidade de mover-se""], ""recomendacao"": ""Levar o animal a um veterinario especializado o mais rápido possível.""}"
19,Dog,"Animal: Dog. Sintomas observados: Fever, Breathing Difficulty, Coughing, Eye And Skin Change, Unable To Exercise.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O relato inclui sintomas graves como dificuldade respiratória e febre, o que sugere uma condição médica grave que requer atenção imediata. Além disso, a presença de mudanças nos olhos e pele também é preocupante."", ""sinais_de_alerta"": [""Dificuldade respiratória"", ""Fever""], ""recomendacao"": ""Ligue para um serviço de emergência veterinária ou leve o animal ao hospital veterinário mais próximo.""}"
20,Dog,"Animal: Dog. Sintomas observados: Fever, Appetite Loss, Coughing, Lethargy, Joint Pain.",EMERGENCIA,NAO_EMERGENCIA,False,True,original,"{
    ""classificacao"": ""NAO_EMERGENCIA"",
    ""justificativa"": ""O animal apresenta sintomas como febre, perda de apetite, tosse e letargia, que são comuns em muitas condições, mas não há informações suficientes para determinar a gravidade ou a necessidade imediata de atendimento veterinário."",
    ""sinais_de_alerta"": [""Fever"", ""Appetite Loss"", ""Coughing"", ""Lethargy"", ""Joint Pain""],
    ""recomendacao"": ""Aveia digestiva e medicamentos para dor. Follow-up com o veterinário.""
}"
21,Dog,"Animal: Dog. Sintomas observados: Lesions In The Nasal Cavity, Lesions On Nose, Nose Bleeds, Noisy Breathing, Lesions On Nose.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas como les\u00eas nas cavidades do nariz, sangramento nasal e respira\u00e7\u00f3es ru\u00eddas indicam uma situa\u00e7\u00e3o de emerg\u00eancia."", ""sinais_de_alerta"": [""Les\u00eas nas cavidades do nariz"", ""Sangramento nasal"", ""Respira\u00e7\u00f3es ru\u00eddas""], ""recomendacao"": ""Levar o animal a um hospital veterinário o mais rápido possível.""}"
22,Dog,"Animal: Dog. Sintomas observados: Hair Loss, Dandruff, Darkened Skin, Crusting Of The Skin, Ulcerated Skin.",EMERGENCIA,EMERGENCIA,True,True,original,"{
    ""classificacao"": ""EMERGENCIA"",
    ""justificativa"": ""O animal apresenta sintomas graves e potencialmente mortais, como ulceração da pele e crustação, o que requer atenção imediata."",
    ""sinais_de_alerta"": [""Ulcerated Skin"", ""Crusting Of The Skin""],
    ""recomendacao"": ""Transporte imediato ao veterinário para avaliação e tratamento.""
}"
23,Dog,"Animal: Dog. Sintomas observados: Greenish Yellow Nasal Discharge, Lack Of Pigmentation, Sneezing, Lethargy, Pain On Face.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas como descarga nasal amarelada-verdosa e falta de pigmentação podem indicar uma condição grave, como uma infecção fúngica ou um tumor. Além disso, a presença de dor no rosto e letargia pode ser um sinal de desconforto intenso ou distúrbio neurológico. Diagnóstico preciso requer exame físico, historial médico detalhado e possíveis exames complementares."", ""sinais_de_alerta"": [""Descarga nasal amarelada-verdosa"", ""Falta de pigmentação"", ""Dor no rosto"", ""Lethargy""], ""recomendacao"": ""Acompanhamento imediato com um veterinário especializado para avaliação e tratamento adequados.""}"
24,Dog,"Animal: Dog. Sintomas observados: Fever, Diarrhea, Poor Appetite, Weight Loss, Vomiting.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como febre, diarreia, falta de apetite, perda de peso e vômitos, indicando uma condição médica urgente que requer atenção veterinária imediata."",
  ""sinais_de_alerta"": [""Fever"", ""Diarrhea"", ""Poor Appetite"", ""Weight Loss"", ""Vomiting""],
  ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível para avaliação e tratamento adequados.""
}"
25,Dog,"Animal: Dog. Sintomas observados: Jaundice, Pneumonia, Lession On The Skin, Pain, Vomiting.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como jaundice, pneumonia, lesão na pele e dor, o que indica uma condição médica urgente que requer atenção veterinária imediata."",
  ""sinais_de_alerta"": [
    ""Jaundice"",
    ""Pneumonia"",
    ""Lesão na pele"",
    ""Dor""
  ],
  ""recomendacao"": ""Levar o animal ao hospital veterinário o mais rápido possível para avaliação e tratamento.""
}"
26,Dog,"Animal: Dog. Sintomas observados: Poor Coat Apperence, Diarrhea, Vomiting, Weight Loss, Dehydration.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como diarreia, vômito e perda de peso, além de sinais de desidratação, o que pode indicar uma condição séria que requer atenção médica imediata."",
  ""sinais_de_alerta"": [
    ""Diarrhea"",
    ""Vomiting"",
    ""Weight Loss"",
    ""Dehydration""
  ],
  ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível para avaliação e tratamento.""
}"
27,Dog,"Animal: Dog. Sintomas observados: Watering, No Appp, Vomiting, Lethargy, Dehydration.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Observação de sintomas graves como vômito e letargia, combinados com sinais de desidratação, indicam uma situação potencialmente crítica que requer atenção imediata."",
  ""sinais_de_alerta"": [""Vômito"", ""Letargia"", ""Desidratação""],
  ""recomendacao"": ""Levar o animal a um centro veterinário o mais rápido possível para avaliação e tratamento.""
}"
28,Dog,"Animal: Dog. Sintomas observados: Straining, Diarrhea, Vomiting, Weight Loss, Blindness.",EMERGENCIA,EMERGENCIA,True,True,original,"{
    ""classificacao"": ""EMERGENCIA"",
    ""justificativa"": ""Sintomas apresentados como Straining, Diarrhea, Vomiting, Weight Loss e Blindness indicam um estado de saúde crítico que requer atenção médica imediata."",
    ""sinais_de_alerta"": [""Straining"", ""Diarrhea"", ""Vomiting"", ""Weight Loss"", ""Blindness""],
    ""recomendacao"": ""Leve o animal ao veterinário o mais rápido possível para uma avaliação e tratamento adequados.""
}"
29,Dog,"Animal: Dog. Sintomas observados: Upset Stomach, Diarrhea, Vomiting, Muscle Pain, Muscle Stiffness.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas como diarreia, vômito e dor muscular indicam uma condição potencialmente grave que requer atenção médica veterinária imediata."", ""sinais_de_alerta"": [""Diarreia"", ""Vômito""], ""recomendacao"": ""Fazer exame físico completo com medicação para aliviar os sintomas e orientar o dono sobre a alimentação adequada.""}"
30,Dog,"Animal: Dog. Sintomas observados: Upset Stomach, Diarrhea, Coughing, Weight Loss, Anaemia.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O animal apresenta uma variedade de sintomas graves, incluindo dor abdominal, diarreia, tosse e perda de peso, o que pode indicar uma condição médica séria. Além disso, a presença de anemia sugere uma possível desidratação ou perda de sangue"", ""sinais_de_alerta"": [""Dor abdominal"", ""Diarrhea"", ""Tose"", ""Perda de peso"", ""Anemia""], ""recomendacao"": ""Levar o animal a um veterinário especializado imediatamente.""}"
31,Dog,"Animal: Dog. Sintomas observados: Allergic Reaction, Poor Appetite, Coughing, Weight Loss, Distended Chest.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas como Reac\u00e7\u00e3o Al\u00e9rgica, Perda de Apetite, Tosse e Perda de Peso indicam uma situação de emergência. Alm\u00f4 ao mais, a Distens\u00e1o do T\u00eastigues sugere uma possibilidade de problema respirat\u00f3rio grave."", ""sinais_de_alerta"": [""Reac\u00e7\u00e3o Al\u00e9rgica"", ""Distens\u00e2o do T\u00eastigues""], ""recomendacao"": ""Levar o animal ao hospital veterinário o mais rápido possível.""}"
32,Dog,"Animal: Dog. Sintomas observados: Fever, Anoxeria, Weight Loss, Lethargy, Pain.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Observaram sintomas graves como anoxia e perda de peso significativa, que podem indicar condições médicas sérias."",
  ""sinais_de_alerta"": [
    ""Anoxeria"",
    ""Pain"",
    ""Fever"",
    ""Lethargy"",
    ""Weight Loss""
  ],
  ""recomendacao"": ""Ir ao hospital veterinário imediatamente para avaliação e tratamento.""
}"
33,Dog,"Animal: Dog. Sintomas observados: Limping, Willnot Run To Jump, Swelling, Week Legs, Pain On Leg.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O animal apresenta sintomas graves e potencialmente fatais, como limpimento, incapacidade de saltar, inchaço e dor no membro afetado. Isso requer atenção imediata veterinária."", ""sinais_de_alerta"": [""Limping"", ""Incapacidade de saltar"", ""Inchaço"", ""Dor""], ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível para avaliação e tratamento.""}"
34,Cat,"Animal: Cat. Sintomas observados: Fever, Eye Ulcer, Congestion, Depression, Pink Eye.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O animal apresenta sintomas graves como febre, úlceras oculares e conjuntivite, além de depressão. Esses sintomas podem indicar uma condição grave que requer atenção veterinária imediata."", ""sinais_de_alerta"": [""Fever"", ""Eye Ulcer"", ""Congestion"", ""Depression""], ""recomendacao"": ""Levar o animal a um veterinário especializado o mais rápido possível para diagnóstico e tratamento.""}"
35,Cat,"Animal: Cat. Sintomas observados: Pnemonia, Appetite Loss, Eye Disharge, Lameness, Arthritis.",EMERGENCIA,EMERGENCIA,True,True,original,"{
    ""classificacao"": ""EMERGENCIA"",
    ""justificativa"": ""O animal apresenta sintomas graves e agudos que indicam uma condição médica séria, como pneumonia, perda de apetite, hemorragia ocular e dor na perna e nas articulações."",
    ""sinais_de_alerta"": [
        ""Pnemonia"",
        ""Perda de apetite"",
        ""Hemorragia ocular"",
        ""Dor na perna"",
        ""Artrite""
    ],
    ""recomendacao"": ""Encaminhar o animal para um veterinário especializado assim que possível.""
}"
36,Cat,"Animal: Cat. Sintomas observados: Fever, Seizures, Hydrophobia, Jaw Is Dropped, Shyness Or Aggression.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O relato do tutor inclui sintomas graves e alarmantes como febre, convulsões, hidrofobia e agitação extrema, o que sugere uma situação de emergência veterinária."",
  ""sinais_de_alerta"": [""Fever"", ""Seizures"", ""Hydrophobia""],
  ""recomendacao"": ""Urgente avaliação e tratamento veterinário, possivelmente com intervenção em casa para minimizar risco de lesão ao animal.""
}"
37,Cat,"Animal: Cat. Sintomas observados: Bloody Urine, Diffculty Breathing, Vomiting, Weight Loss, Appetite Loss.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas como Bloody Urine e Difficulty Breathing indicam problemas graves que precisam de atenção médica imediata."", ""sinais_de_alerta"": [""Bloody Urine"", ""Difficulty Breathing""], ""recomendacao"": ""Levar o animal a um veterinário especializado assim que possível.""}"
38,Cat,"Animal: Cat. Sintomas observados: Loss Of Eat, Difficulty In Breathing, Swelling, Lameness, Neurologic Abnormalities.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Sintomas observados indicam uma condição grave e potencialmente perigosa para a vida do animal, como dificuldade respiratória e paralisia neurológica."",
  ""sinais_de_alerta"": [""Dificuldade de respiração"", ""Paralisia neurológica""],
  ""recomendacao"": ""Leve o animal ao veterinário imediatamente para avaliação e tratamento.""
}"
39,Cat,"Animal: Cat. Sintomas observados: Dark Or Black Face, Diarrhea, Vomiting, Blood In Faces, Pain.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas graves e possíveis complica\u00e7\u00f5es potenciais para a vida do animal, como diarreia, vômito e sangramento nas vias faciais. Recomenda-se imediata aten\u00ea\u00f3 ao veterinário."", ""sinais_de_alerta"": [""Diarrhea"", ""Vomiting"", ""Sangramento nas vias faciais""], ""recomendacao"": ""Leve o animal a um veterinário o mais breve possível.""}"
40,Cat,"Animal: Cat. Sintomas observados: Jaundice, Difficulty In Breathing, Seizuers, Lethargy, Pale Gums.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O relato inclui sintomas graves e potencialmente fatais para o cat, como jaundice, dificuldade de respirar, convulsões, letargia e palidez das gengivas."",
  ""sinais_de_alerta"": [""Jaundice"", ""Difficulty In Breathing"", ""Seizuers"", ""Lethargy"", ""Pale Gums""],
  ""recomendacao"": ""Leve o cat a um veterinário imediatamente.""
}"
41,Cat,"Animal: Cat. Sintomas observados: Appetite Varies, Diarrhea, Vomiting, Weight Loss, Pain.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O animal apresenta sintomas graves como vômitos e perda de peso, indicando uma condição grave que requer atenção veterinária imediata."", ""sinais_de_alerta"": [""Vômitos"", ""Perda de peso""], ""recomendacao"": ""Levar o animal ao veterinário o mais rápido possível.""}"
42,Cat,"Animal: Cat. Sintomas observados: Loss Of Eat, Fell Unwell, Lethargy, Weight Loss, Skin Issue.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas graves e potencialmente leves para uma doen\u00e7\u00f3 grave, como desidrata\u00e7\u00e3o ou insuficiência hep\u00e1tica."", ""sinais_de_alerta"": [""Loss Of Eat"", ""Fell Unwell"", ""Lethargy""], ""recomendacao"": ""Acompanhamento imediato em clínica veterinária e tratamento adequado.""}"
43,Cat,"Animal: Cat. Sintomas observados: Sickness, Appetite Loss, Vomiting, Weight Loss, Raised Growth Or Bump.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como perda de apetite e vômitos, o que pode indicar uma condição médica grave."",
  ""sinais_de_alerta"": [""Perda de apetite"", ""Vômitos""],
  ""recomendacao"": ""Levar o animal a um clínico veterinário imediatamente.""
}"
44,Cat,"Animal: Cat. Sintomas observados: Nasal Bleeding, Diffulty Chewing, Swelling, Weight Loss, Appetite Loss.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O relato do tutor apresenta sintomas graves e potencialmente vitais como nasal bleeding, dificuldade de mordisco, inchaço e perda de peso e apetite, que indicam uma condição médica grave que requer atenção imediata."",
  ""sinais_de_alerta"": [""Nasal Bleeding"", ""Dificuldade Chewing"", ""Swelling"", ""Weight Loss"", ""Appetite Loss""],
  ""recomendacao"": ""Levar o animal a um veterinário especializado o mais rápido possível""
}"
45,Cat,"Animal: Cat. Sintomas observados: Ulcers, Lesions, Scabs, Lumps, Bumps(Black,Grey Or Red).",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas como lesoes, ulceros e bocas que sejam sangrantes ou infectadas representam um risco imediato para a vida do animal. Além disso, a presença de lesions cutaneas pode indicar uma infecao grave."", ""sinais_de_alerta"": [""Lesões"", ""Ulceros"", ""Bocas que sangram""], ""recomendacao"": ""Leve o animal ao veterinario mais rápido possível para avaliacao e tratamento.""}"
46,Cat,"Animal: Cat. Sintomas observados: Gasc, Appetite Loss, Blood In Stool, Stomach Growling, Black Stool.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Sintomas como gas, perda de apetite, sangue no estômago e fezes pretas podem indicar uma condição grave, como paroníria ou enterite inflamatória, que requer atenção veterinária imediata."",
  ""sinais_de_alerta"": [""Gasc"", ""Perda de apetite"", ""Sangue no estômago"", ""Fezes pretas""],
  ""recomendacao"": ""Levar o animal ao veterinário assim que possível""
}"
47,Cat,"Animal: Cat. Sintomas observados: Shaking Head, Scartching Ear, Black On Ear, Bad Smell, Red And Inflammation Ear.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Sinais de alerta presentes: shaking head, esgar de dor no ouvido, cheiro desagradável e inflamação nos ouvidos. Esses sintomas indicam uma condição grave que requer atenção veterinária imediata."",
  ""sinais_de_alerta"": [""Shaking Head"", ""Esgar de dor no ouvido"", ""Cheiro desagradável"", ""Inflamação nos ouvidos""],
  ""recomendaacao"": ""Leve o animal ao veterinário mais próximo assim que possível""
}"
