condicao,lote,atendente,id,esperado,previsto,justificativa
oraculo_academico,dev,llama3.2-3b,p33,EMERGENCIA,EMERGENCIA,"Sinal de risco à vida: tossir de noite e cansaço, indicando possivel problema cardíaco grave"
oraculo_academico,dev,llama3.2-3b,p34,EMERGENCIA,EMERGENCIA,"Sinais de alerta: fraqueza repentina, falta de movimento, gengiva branca, risco à vida"
oraculo_academico,dev,llama3.2-3b,p35,EMERGENCIA,EMERGENCIA,Sinal de risco à vida devido à paralisia muscular e diarreia com sangue
oraculo_academico,dev,llama3.2-3b,p36,EMERGENCIA,EMERGENCIA,Sinal de dor intenso e possibilidade de lesão ocular grave
oraculo_academico,dev,llama3.2-3b,p37,EMERGENCIA,EMERGENCIA,"Sinais graves de exposição à permetrina, como tremendo, babando e dificuldade de andar, indicam risco à vida."
oraculo_academico,dev,llama3.2-3b,p38,EMERGENCIA,EMERGENCIA,"Sinais de alerta: vômitos repetidos, perda de apetite, possibilidade de obstrução intestinal."
oraculo_academico,dev,llama3.2-3b,p39,EMERGENCIA,EMERGENCIA,Sinais de dificuldade respiratória e dificuldade para latir
oraculo_academico,dev,llama3.2-3b,p40,EMERGENCIA,EMERGENCIA,"Sinal de força e distorção, necessitando de atendimento imediato."
oraculo_academico,dev,llama3.2-3b,p41,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente uma infecção viral, mas sem sintomas graves."
oraculo_academico,dev,llama3.2-3b,p42,EMERGENCIA,INCERTO,Não foi possível analisar o relato com segurança.
oraculo_academico,dev,llama3.2-3b,p43,EMERGENCIA,EMERGENCIA,"Sinais de alerta: rigidez, tremendo muito, dificuldade para se manter em pé, indicando hipocalcaemia e possíveis convulsões."
oraculo_academico,dev,llama3.2-3b,p44,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem menção a risco à vida ou sofrimento intenso."
oraculo_academico,dev,llama3.2-3b,p45,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p46,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente relacionados a um problema de saúde, mas não há risco imediato à vida."
oraculo_academico,dev,llama3.2-3b,p47,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem perda de equilibrio ou caída, indicando apenas desconforto."
oraculo_academico,dev,llama3.2-3b,p48,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p49,NAO_EMERGENCIA,EMERGENCIA,"Sinal de dificuldade em levantar, indicando dor e limitação de movimento"
oraculo_academico,dev,llama3.2-3b,p50,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinal leve, sem sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p51,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p52,NAO_EMERGENCIA,EMERGENCIA,"Sinal de vermelhidão e remela no olho, indicando infecção ocular grave."
oraculo_academico,dev,llama3.2-3b,p53,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem menção a sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p54,NAO_EMERGENCIA,EMERGENCIA,"Sinais de alerta: tremendo, movimentos involuntários, agitação."
oraculo_academico,dev,llama3.2-3b,p55,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem dor intensa ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p56,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p57,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem risco à vida ou sofrimento intenso"
oraculo_academico,dev,llama3.2-3b,p58,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinal de mordida sem inchaço ou sinal de infecção
oraculo_academico,dev,llama3.2-3b,p59,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais de alerta: bebendo mais água do que o normal, frequência aumentada. Não há outros sintomas mencionados."
oraculo_academico,dev,llama3.2-3b,p60,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinal de corte, mas parou de sangrar rapidinho"
oraculo_academico,dev,llama3.2-3b,p61,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem dor ou sintomas graves"
oraculo_academico,dev,llama3.2-3b,p62,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinais leves e sem mudança no tamanho do carocinho
oraculo_academico,dev,llama3.2-3b,p63,NAO_EMERGENCIA,EMERGENCIA,Sinal de raiva de morcego pode transmitir rabies
oraculo_academico,dev,llama3.2-3b,p64,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,dev,llama3.2-3b,p65,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem risco à vida ou sofrimento intenso."
oraculo_academico,calib,llama3.2-3b,p01,EMERGENCIA,EMERGENCIA,"Sinais de alerta: convulsão, tremer e babar muito, indicando risco à vida."
oraculo_academico,calib,llama3.2-3b,p02,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem perda de equilíbrio ou outros sintomas preocupantes."
oraculo_academico,calib,llama3.2-3b,p03,EMERGENCIA,EMERGENCIA,"Sinais graves indicam risco à vida e sofrimento intenso, necessitando de atendimento imediato."
oraculo_academico,calib,llama3.2-3b,p04,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,calib,llama3.2-3b,p05,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente causados por medicamento anti-inflamatório"
oraculo_academico,calib,llama3.2-3b,p06,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinal leve, sem sintomas graves ou risco à vida."
oraculo_academico,calib,llama3.2-3b,p07,EMERGENCIA,EMERGENCIA,Sinal de risco à vida: Gastric Dilatation-Volvulus (GDV) pode ser fatal se não for tratado rapidamente.
oraculo_academico,calib,llama3.2-3b,p08,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente relacionados a uma obstrução urinária, mas sem sinais graves de risco à vida."
oraculo_academico,calib,llama3.2-3b,p09,NAO_EMERGENCIA,EMERGENCIA,"Sinais de alerta: frequência urinária aumentada, urinação excessiva, ausência de dor ou força, indicando FLUTD grave."
oraculo_academico,calib,llama3.2-3b,p10,EMERGENCIA,EMERGENCIA,"Sinal de corrimento com pus saindo pela vulva, indicando possibilidade de pyometra"
oraculo_academico,calib,llama3.2-3b,p11,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem risco à vida ou sofrimento intenso"
oraculo_academico,calib,llama3.2-3b,p12,EMERGENCIA,EMERGENCIA,"Sinais de alerta: dor intensa, dificuldade respiratória e aceleração da respiração."
oraculo_academico,calib,llama3.2-3b,p13,NAO_EMERGENCIA,EMERGENCIA,"Sinal de dificuldade para levantar, indicando dor e limitação de movimento"
oraculo_academico,calib,llama3.2-3b,p14,EMERGENCIA,EMERGENCIA,Sinal de lesão grave e sinal de risco à vida
oraculo_academico,calib,llama3.2-3b,p17,EMERGENCIA,EMERGENCIA,Sinal de trauma ocular grave com proptose e dor ao fechar a pálpebra
oraculo_academico,calib,llama3.2-3b,p18,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem dor ou sintomas graves"
oraculo_academico,regua,llama3.2-3b,b01,EMERGENCIA,EMERGENCIA,"Sinais de alerta: tremendo, vômitar, incontinência urinária"
oraculo_academico,regua,llama3.2-3b,b02,EMERGENCIA,EMERGENCIA,Sinais de dor e dificuldade para urinar indicam risco à vida
oraculo_academico,regua,llama3.2-3b,b03,EMERGENCIA,EMERGENCIA,"Sinal de Respiratory Distress, ausência de outros sintomas"
oraculo_academico,regua,llama3.2-3b,b04,EMERGENCIA,EMERGENCIA,"Sinais de alerta: convulsão, tremor, incontinência urinária, possíveis movimentos musculares explosivos"
oraculo_academico,regua,llama3.2-3b,b05,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem risco à vida ou sofrimento intenso"
oraculo_academico,regua,llama3.2-3b,b06,EMERGENCIA,NAO_EMERGENCIA,"Sangramento leve, sem menção a outros sintomas graves."
oraculo_academico,regua,llama3.2-3b,b07,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente causados por bactérias ou alergias alimentares."
oraculo_academico,regua,llama3.2-3b,b08,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente causados por ingestão de cebola e alho, mas não há risco imediato à vida."
oraculo_academico,regua,llama3.2-3b,b09,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem erupções graves ou sintomas graves"
oraculo_academico,regua,llama3.2-3b,b10,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinal leve de mancar de pata, sem outros sintomas mencionados."
oraculo_academico,regua,llama3.2-3b,b11,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinais leves e possíveis causa conhecida
oraculo_academico,regua,llama3.2-3b,b12,EMERGENCIA,EMERGENCIA,"Sinais de alerta: barriga inchada e dura, inquieto, tentando vomitar sem sair nada"
oraculo_academico,regua,llama3.2-3b,b13,EMERGENCIA,EMERGENCIA,Sangramento intenso e não parado há 10 minutos
oraculo_academico,regua,llama3.2-3b,b14,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente relacionados a hipotermia ou fadiga, mas não há risco à vida ou sofrimento intenso."
oraculo_academico,regua,llama3.2-3b,b15,EMERGENCIA,EMERGENCIA,Sinal de obstrução urinária grave
oraculo_academico,regua,llama3.2-3b,b16,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente de picada de abelha, sem menção a outros sintomas graves."
oraculo_academico,regua,llama3.2-3b,b17,EMERGENCIA,EMERGENCIA,"Sinais de alerta: dor profunda nos membros pélvicos, ausência de pulso femoral, ofegante, dificuldade para levantar as pernas de trás."
oraculo_academico,regua,llama3.2-3b,b18,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem febre ou outros sintomas graves"
oraculo_academico,regua,llama3.2-3b,b19,EMERGENCIA,EMERGENCIA,"Sinal de ingestão de paracetamol, que pode causar necrose hepática grave."
oraculo_academico,regua,llama3.2-3b,b20,EMERGENCIA,EMERGENCIA,"Sinais de alerta: tremendo, pupilas pequenas, babar muito, indicando possivel envenenamento"
oraculo_academico,regua,llama3.2-3b,b21,EMERGENCIA,EMERGENCIA,"Sinais de alerta: tremer e andar estranho, indicando possíveis efeitos tóxicos de permetrina na gata."
oraculo_academico,regua,llama3.2-3b,b22,EMERGENCIA,EMERGENCIA,Sinais de sangramento e fraqueza grave indicam risco à vida.
oraculo_academico,regua,llama3.2-3b,b23,EMERGENCIA,EMERGENCIA,"Sinais de alerta: vômito, diarreia de sangue, quieta e falta de apetite, indicando risco à vida."
oraculo_academico,regua,llama3.2-3b,b24,EMERGENCIA,EMERGENCIA,"Sinais de alerta: apatia, pus pela vulva, hemorragia, falta de uterine contento, sinal de infecção, sinal de dor, sinal de risco à vida"
oraculo_academico,regua,llama3.2-3b,b25,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,regua,llama3.2-3b,b26,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem força, sem sangue ou urina estranha"
oraculo_academico,regua,llama3.2-3b,b27,EMERGENCIA,EMERGENCIA,"Sinais de choque e perda de sangue, necessitando de atendimento imediato."
oraculo_academico,regua,llama3.2-3b,b28,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem menção a dor ou dificuldade significativa"
oraculo_academico,regua,llama3.2-3b,b29,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sinal de risco à vida ou sofrimento intenso."
oraculo_academico,regua,llama3.2-3b,b30,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente uma ingestão de objeto não digestível"
oraculo_academico,regua,llama3.2-3b,b31,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,regua,llama3.2-3b,b32,EMERGENCIA,EMERGENCIA,"Tosse aguda e respiração rápida, indicando possível insuficiência cardíaca grave."
oraculo_academico,regua,llama3.2-3b,b33,EMERGENCIA,EMERGENCIA,"Sinais graves de desidratação, vômito e dificuldade respiratória"
oraculo_academico,regua,llama3.2-3b,b34,EMERGENCIA,EMERGENCIA,"Sinais de alerta: secreção no olho e no nariz, contrações repetidas nas pernas, indicando risco à vida e sofrimento intenso."
oraculo_academico,regua,llama3.2-3b,b35,EMERGENCIA,EMERGENCIA,Sinal de força prolongada e ausência de nascimento de filhotes
oraculo_academico,regua,llama3.2-3b,b36,EMERGENCIA,EMERGENCIA,"Sinal de paralisia e frieza em duas patas, além de respiração rápida, indicam risco à vida."
oraculo_academico,regua,llama3.2-3b,b37,EMERGENCIA,EMERGENCIA,"Sinais de alerta: febre, vômito, olhos amarelados, abatimento; presença de Leptospira spp. em urina do cachorro"
oraculo_academico,regua,llama3.2-3b,b38,EMERGENCIA,EMERGENCIA,Sinal de risco à vida: vômito e silêncio após ingestão de lírio
oraculo_academico,regua,llama3.2-3b,b39,EMERGENCIA,EMERGENCIA,Sintomas graves indicam risco à vida imediato
oraculo_academico,regua,llama3.2-3b,b40,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem convulsões ou perda de consciência"
oraculo_academico,regua,llama3.2-3b,b41,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem indicação de risco à vida ou sofrimento intenso."
oraculo_academico,regua,llama3.2-3b,b42,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente de desmaio e brancura de gengiva, sem menção a outros sintomas graves."
oraculo_academico,regua,llama3.2-3b,b43,EMERGENCIA,EMERGENCIA,Sinal de dor intensa e opacidade do olho fechado indicam risco à vida.
oraculo_academico,regua,llama3.2-3b,b44,EMERGENCIA,EMERGENCIA,Sinal de dificuldade respiratória e língua azul indicam risco à vida.
oraculo_academico,regua,llama3.2-3b,b45,EMERGENCIA,EMERGENCIA,"Sinal de risco à vida devido à picada de cobra, com sintomas graves como inchaço rápido e fraqueza."
oraculo_academico,regua,llama3.2-3b,b46,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente infestações de carrapatos, sem menção a sintomas graves."
oraculo_academico,regua,llama3.2-3b,b47,EMERGENCIA,EMERGENCIA,"Sinais de alerta: falta de alimentação, mole, tremendo, falta de resposta, risco de hipoglicemia"
oraculo_academico,regua,llama3.2-3b,b48,EMERGENCIA,EMERGENCIA,"Sinais de alerta: cabeça torta, olhos mexendo rápido, perda de equilíbrio"
oraculo_academico,regua,llama3.2-3b,b49,EMERGENCIA,EMERGENCIA,Sinal de risco à vida: respirando mais rápido
oraculo_academico,regua,llama3.2-3b,b50,EMERGENCIA,EMERGENCIA,"Sinais de alerta: dificuldade para respirar, boca queimada, choque"
oraculo_academico,regua,llama3.2-3b,b51,EMERGENCIA,EMERGENCIA,"Sinais de alerta: inquietação, ofegamento, tremores e dor nas pernas, indicando hipocalcaemia e possíveis convulsões."
oraculo_academico,regua,llama3.2-3b,b52,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem menção a quantidades toxicas ou sintomas graves."
oraculo_academico,regua,llama3.2-3b,b53,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem força ou outros sintomas graves"
oraculo_academico,regua,llama3.2-3b,b54,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinal leve, sem sintomas graves ou risco à vida"
oraculo_academico,regua,llama3.2-3b,b55,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,regua,llama3.2-3b,b56,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem vômitos ou outros sintomas graves"
oraculo_academico,regua,llama3.2-3b,b57,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem risco à vida ou sofrimento intenso"
oraculo_academico,regua,llama3.2-3b,b58,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinal de corte superficial que parou de sangrar e a gata está normal
oraculo_academico,regua,llama3.2-3b,b59,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem dor ou sintomas graves"
oraculo_academico,regua,llama3.2-3b,b60,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinais leves e não há risco à vida ou sofrimento intenso.
oraculo_academico,regua,llama3.2-3b,b61,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinais de recuperação rápida após exercício e melhora em poucos minutos
oraculo_academico,regua,llama3.2-3b,b62,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem ferimento grande e comportamento normal"
oraculo_academico,regua,llama3.2-3b,b63,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem risco à vida ou sofrimento intenso"
oraculo_academico,regua,llama3.2-3b,b64,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sintomas graves ou risco à vida."
oraculo_academico,regua,llama3.2-3b,b65,NAO_EMERGENCIA,NAO_EMERGENCIA,Sinais leves e recuperação rápida sem tratamento médico.
oraculo_academico,regua,llama3.2-3b,b66,NAO_EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, sem sangue ou outros sintomas graves"
e5_fichas_top1,dev,gemini-3.5-flash-lite,p19,EMERGENCIA,EMERGENCIA,"O cão comeu chocolate e apresenta tremores e coração acelerado, indicando risco grave e imediato."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p20,EMERGENCIA,EMERGENCIA,"O gato comeu cebola e apresenta fraqueza e gengiva pálida, indicando risco grave."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p21,EMERGENCIA,EMERGENCIA,"Seu gato apresenta dificuldade respiratória grave, demonstrada pela respiração de boca aberta e movimento rápido do peito."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p22,EMERGENCIA,EMERGENCIA,O cachorro apresentou episódios de convulsão com perda de consciência e salivação intensa.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p23,EMERGENCIA,EMERGENCIA,Houve atropelamento e o animal apresenta sangramento intenso que não cessa.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p24,EMERGENCIA,EMERGENCIA,"O cão faz força repetida sem conseguir urinar, acompanhado de dor e choro, indicando risco grave."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p25,EMERGENCIA,EMERGENCIA,"Seu gato apresenta vômitos frequentes, diarreia com sangue e prostração, indicando risco grave à vida."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p26,EMERGENCIA,EMERGENCIA,O cão sofreu golpe de calor e apresenta sinais graves de risco iminente à vida.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p27,EMERGENCIA,EMERGENCIA,A barriga estufada e a tentativa de vomitar sem sucesso indicam risco grave e necessitam atendimento imediato.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p28,EMERGENCIA,EMERGENCIA,"O filhote recém-nascido está molinho, gelado e sem mamar, indicando risco imediato à vida."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p29,EMERGENCIA,EMERGENCIA,O cachorro perdeu o movimento das patas traseiras subitamente e sente muita dor.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p30,EMERGENCIA,EMERGENCIA,"O cão teve acesso a raticida e agora apresenta sangramento nasal, indicando risco grave."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p31,EMERGENCIA,EMERGENCIA,"O gato recebeu paracetamol e apresenta gengiva arroxeada, indicando intoxicação grave com risco de vida."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p32,EMERGENCIA,EMERGENCIA,O inchaco no focinho e a respiracao ruidosa apos picada indicam risco de via aerea.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p33,EMERGENCIA,INCERTO,"O relato menciona tosse e cansaço, mas faltam detalhes para definir a gravidade."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p34,EMERGENCIA,EMERGENCIA,"Seu gato apresenta fraqueza súbita e gengiva pálida, indicando risco grave à vida."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p35,EMERGENCIA,EMERGENCIA,"O filhote apresenta diarreia com sangue e apatia extrema, indicando risco grave e necessidade de atendimento imediato."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p36,EMERGENCIA,EMERGENCIA,Problemas oculares graves com dor e alteracao na cor do olho exigem atendimento veterinario imediato.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p37,EMERGENCIA,EMERGENCIA,"O gato apresenta tremores, salivação excessiva e dificuldade para andar após contato com antipulgas de cão."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p38,EMERGENCIA,INCERTO,"O relato menciona vômito e falta de apetite, mas não há informação suficiente para decidir."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p39,EMERGENCIA,EMERGENCIA,O cachorro apresenta dificuldade respiratória aguda e alteração no latido.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p40,EMERGENCIA,INCERTO,"O relato trata de dificuldade no parto, assunto não abordado no trecho de protocolo fornecido."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p41,EMERGENCIA,INCERTO,O relato não traz informações suficientes para definir a gravidade com segurança.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p42,EMERGENCIA,EMERGENCIA,"O filhote esta molinho e tremendo, indicando risco grave que exige atendimento veterinario imediato."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p43,EMERGENCIA,EMERGENCIA,"Sua cadela apresenta tremores e rigidez enquanto amamenta, indicando uma emergencia veterinaria grave."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p44,NAO_EMERGENCIA,NAO_EMERGENCIA,O gato comeu pouco e esta com comportamento normal hoje de manha.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p45,NAO_EMERGENCIA,NAO_EMERGENCIA,"O gato apresenta apenas espirros leves e coriza, mantendo o apetite e comportamento normal."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p46,NAO_EMERGENCIA,NAO_EMERGENCIA,"O gato vai mais vezes ao banheiro, mas urina normalmente sem fazer força, indicando caso leve."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p47,NAO_EMERGENCIA,NAO_EMERGENCIA,Os sintomas relatados são leves e não indicam risco iminente à vida.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p48,NAO_EMERGENCIA,NAO_EMERGENCIA,O cachorro vomitou apenas uma vez e continua comendo e agindo normalmente.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p49,NAO_EMERGENCIA,NAO_EMERGENCIA,"A dificuldade para levantar ocorre há meses e melhora após caminhar, indicando um quadro crônico e leve."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p50,NAO_EMERGENCIA,NAO_EMERGENCIA,"O inchaço é pequeno e local, sem sinais graves ou risco imediato."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p51,NAO_EMERGENCIA,NAO_EMERGENCIA,A tosse é leve e o cão continua ativo e comendo normalmente.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p52,NAO_EMERGENCIA,NAO_EMERGENCIA,"O gato apresenta olho vermelho sem dor e consegue abrir o olho normalmente, sem sinais graves."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p53,NAO_EMERGENCIA,NAO_EMERGENCIA,O intervalo entre os filhotes esta dentro do tempo considerado normal.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p54,NAO_EMERGENCIA,NAO_EMERGENCIA,"O cachorro está apenas tremendo devido aos trovões, sem sinais de risco imediato à vida."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p55,NAO_EMERGENCIA,NAO_EMERGENCIA,"O animal manca levemente, ainda apoia a pata e está sem inchaço, o que não indica urgência imediata."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p56,NAO_EMERGENCIA,NAO_EMERGENCIA,"O gato apresenta coceira leve e casquinhas, mas come bem e brinca normal."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p57,NAO_EMERGENCIA,NAO_EMERGENCIA,"O animal está se alimentando, bebe água normalmente e não apresenta vômitos ou diarreia."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p58,NAO_EMERGENCIA,NAO_EMERGENCIA,"O ferimento não é uma emergência imediata, mas deve ser avaliado nas próximas vinte e quatro horas."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p59,NAO_EMERGENCIA,NAO_EMERGENCIA,Beber muita água sem outros sintomas graves não é uma emergência imediata.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p60,NAO_EMERGENCIA,NAO_EMERGENCIA,"O corte é pequeno, parou de sangrar sozinho e o animal está bem."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p61,NAO_EMERGENCIA,NAO_EMERGENCIA,O tártaro e o mau hálito são sinais leves que podem aguardar uma consulta de rotina.
e5_fichas_top1,dev,gemini-3.5-flash-lite,p62,NAO_EMERGENCIA,NAO_EMERGENCIA,"O carocinho na barriga está estável e já foi avaliado anteriormente, sem sinais de urgência."
e5_fichas_top1,dev,gemini-3.5-flash-lite,p63,NAO_EMERGENCIA,NAO_EMERGENCIA,"O cao esta bem e sem sinais graves, mas precisa de consulta veterinaria em breve."
