condicao,lote,atendente,id,topico,tom,esperado,previsto,no_prompt,tempo_s
cot_e5_fichas_top3,calib,qwen3-8b,p11,normal_estrus,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,pyometra;normal_estrus;allium_toxicosis,2.83
cot_e5_fichas_top3,calib,qwen3-8b,p12,acute_hindlimb_paralysis,par_confuso,EMERGENCIA,EMERGENCIA,acute_hindlimb_paralysis;seizures;osteoarthritis_stiffness,5.51
cot_e5_fichas_top3,calib,qwen3-8b,p13,osteoarthritis_stiffness,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,osteoarthritis_stiffness;dietary_indiscretion_mild;kennel_cough_mild,2.69
cot_e5_fichas_top3,calib,qwen3-8b,p14,snake_and_scorpion_envenomation,fora_da_base,EMERGENCIA,NAO_EMERGENCIA,canine_heatstroke;seizures;flea_dermatitis_pruritus,3.94
cot_e5_fichas_top3,calib,qwen3-8b,p15,,informacao_insuficiente,INCERTO,INCERTO,gastrointestinal_foreign_body;dystocia;vestibular_syndrome_otitis_interna,5.70
cot_e5_fichas_top3,calib,qwen3-8b,p16,,fora_do_dominio_clinico,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;rabies_exposure_wild_animal_bite;chocolate_toxicosis,4.08
cot_e5_fichas_top3,calib,qwen3-8b,p17,ocular_emergency,par_confuso,EMERGENCIA,EMERGENCIA,ocular_emergency;canine_heatstroke;mild_conjunctivitis,6.58
cot_e5_fichas_top3,calib,qwen3-8b,p18,mild_conjunctivitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,mild_conjunctivitis;ocular_emergency;seizures,3.22
cot_e5_fichas_top3,dev,llama3.2-3b,p19,chocolate_toxicosis,controle_emergencia,EMERGENCIA,EMERGENCIA,chocolate_toxicosis;dietary_indiscretion_mild;gastric_dilatation_volvulus,4.92
cot_e5_fichas_top3,dev,llama3.2-3b,p20,allium_toxicosis,par_confuso,EMERGENCIA,EMERGENCIA,allium_toxicosis;collapse_and_pale_gums;respiratory_distress,7.59
cot_e5_fichas_top3,dev,llama3.2-3b,p21,respiratory_distress,par_confuso,EMERGENCIA,EMERGENCIA,respiratory_distress;mild_upper_respiratory_signs;urethral_obstruction,5.00
cot_e5_fichas_top3,dev,llama3.2-3b,p22,seizures,par_confuso,EMERGENCIA,EMERGENCIA,seizures;dietary_indiscretion_mild;urethral_obstruction,2.58
cot_e5_fichas_top3,dev,llama3.2-3b,p23,trauma_and_bleeding,par_confuso,EMERGENCIA,EMERGENCIA,trauma_and_bleeding;minor_wound;burns_and_electrical_injury,3.81
cot_e5_fichas_top3,dev,llama3.2-3b,p24,urethral_obstruction,par_confuso,EMERGENCIA,EMERGENCIA,urethral_obstruction;inappropriate_urination_or_cystitis;gastric_dilatation_volvulus,2.66
cot_e5_fichas_top3,dev,llama3.2-3b,p25,vomiting_and_diarrhea,controle_emergencia,EMERGENCIA,EMERGENCIA,vomiting_and_diarrhea;reduced_appetite_no_other_signs;seizures,8.18
cot_e5_fichas_top3,dev,llama3.2-3b,p26,canine_heatstroke,par_confuso,EMERGENCIA,EMERGENCIA,canine_heatstroke;collapse_and_pale_gums;gastric_dilatation_volvulus,3.41
cot_e5_fichas_top3,dev,llama3.2-3b,p27,gastric_dilatation_volvulus,calma_grave,EMERGENCIA,EMERGENCIA,gastric_dilatation_volvulus;diabetic_ketoacidosis;dietary_indiscretion_mild,4.40
cot_e5_fichas_top3,dev,llama3.2-3b,p28,fading_neonate,controle_emergencia,EMERGENCIA,INCERTO,fading_neonate;canine_heatstroke;dystocia,1.97
cot_e5_fichas_top3,dev,llama3.2-3b,p29,acute_hindlimb_paralysis,par_confuso,EMERGENCIA,EMERGENCIA,acute_hindlimb_paralysis;osteoarthritis_stiffness;seizures,3.07
cot_e5_fichas_top3,dev,llama3.2-3b,p30,anticoagulant_rodenticide_poisoning,controle_emergencia,EMERGENCIA,EMERGENCIA,anticoagulant_rodenticide_poisoning;permethrin_toxicosis_cats;lily_toxicosis_cats,3.74
cot_e5_fichas_top3,dev,llama3.2-3b,p31,human_medication_poisoning,controle_emergencia,EMERGENCIA,EMERGENCIA,human_medication_poisoning;allium_toxicosis;anticoagulant_rodenticide_poisoning,3.80
cot_e5_fichas_top3,dev,llama3.2-3b,p32,anaphylaxis_facial_swelling,par_confuso,EMERGENCIA,EMERGENCIA,anaphylaxis_facial_swelling;canine_heatstroke;flea_dermatitis_pruritus,8.53
cot_e5_fichas_top3,dev,llama3.2-3b,p33,congestive_heart_failure,par_confuso,EMERGENCIA,EMERGENCIA,gastric_dilatation_volvulus;canine_heatstroke;congestive_heart_failure,6.07
cot_e5_fichas_top3,dev,llama3.2-3b,p34,collapse_and_pale_gums,controle_emergencia,EMERGENCIA,EMERGENCIA,collapse_and_pale_gums;respiratory_distress;allium_toxicosis,8.57
cot_e5_fichas_top3,dev,llama3.2-3b,p35,parvovirus_panleukopenia,controle_emergencia,EMERGENCIA,EMERGENCIA,parvovirus_panleukopenia;vomiting_and_diarrhea;reduced_appetite_no_other_signs,3.93
cot_e5_fichas_top3,dev,llama3.2-3b,p36,ocular_emergency,par_confuso,EMERGENCIA,EMERGENCIA,ocular_emergency;mild_conjunctivitis;anaphylaxis_facial_swelling,6.58
cot_e5_fichas_top3,dev,llama3.2-3b,p37,permethrin_toxicosis_cats,controle_emergencia,EMERGENCIA,EMERGENCIA,permethrin_toxicosis_cats;carbamate_organophosphate_poisoning;tremors_without_seizure,3.16
cot_e5_fichas_top3,dev,llama3.2-3b,p38,gastrointestinal_foreign_body,controle_emergencia,EMERGENCIA,EMERGENCIA,lily_toxicosis_cats;diabetic_ketoacidosis;gastrointestinal_foreign_body,2.46
cot_e5_fichas_top3,dev,llama3.2-3b,p39,airway_foreign_body_choking,controle_emergencia,EMERGENCIA,EMERGENCIA,dietary_indiscretion_mild;flea_dermatitis_pruritus;seizures,3.43
cot_e5_fichas_top3,dev,llama3.2-3b,p40,dystocia,par_confuso,EMERGENCIA,EMERGENCIA,urethral_obstruction;dystocia;normal_whelping,4.93
cot_e5_fichas_top3,dev,llama3.2-3b,p41,distemper_neurological,controle_emergencia,EMERGENCIA,INCERTO,hypoglycemia_toy_puppy;dietary_indiscretion_mild;parvovirus_panleukopenia,2.66
cot_e5_fichas_top3,dev,llama3.2-3b,p42,hypoglycemia_toy_puppy,controle_emergencia,EMERGENCIA,EMERGENCIA,fading_neonate;hypoglycemia_toy_puppy;dietary_indiscretion_mild,7.46
cot_e5_fichas_top3,dev,llama3.2-3b,p43,eclampsia,controle_emergencia,EMERGENCIA,EMERGENCIA,eclampsia;pyometra;dystocia,3.13
cot_e5_fichas_top3,dev,llama3.2-3b,p44,dietary_indiscretion_mild,par_confuso,NAO_EMERGENCIA,EMERGENCIA,allium_toxicosis;dietary_indiscretion_mild;flea_dermatitis_pruritus,4.42
cot_e5_fichas_top3,dev,llama3.2-3b,p45,mild_upper_respiratory_signs,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,mild_upper_respiratory_signs;respiratory_distress;dietary_indiscretion_mild,1.76
cot_e5_fichas_top3,dev,llama3.2-3b,p46,inappropriate_urination_or_cystitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,inappropriate_urination_or_cystitis;urethral_obstruction;dietary_indiscretion_mild,7.67
cot_e5_fichas_top3,dev,llama3.2-3b,p47,otitis_externa_mild,par_confuso,NAO_EMERGENCIA,EMERGENCIA,seizures;dietary_indiscretion_mild;hypoglycemia_toy_puppy,3.46
cot_e5_fichas_top3,dev,llama3.2-3b,p48,single_vomiting_or_mild_diarrhea,alarme_leve,NAO_EMERGENCIA,EMERGENCIA,dietary_indiscretion_mild;gastric_dilatation_volvulus;toad_bufotoxin_poisoning,3.51
cot_e5_fichas_top3,dev,llama3.2-3b,p49,osteoarthritis_stiffness,par_confuso,NAO_EMERGENCIA,EMERGENCIA,osteoarthritis_stiffness;kennel_cough_mild;canine_heatstroke,7.69
cot_e5_fichas_top3,dev,llama3.2-3b,p50,insect_sting_local_reaction,par_confuso,NAO_EMERGENCIA,INCERTO,anaphylaxis_facial_swelling;canine_heatstroke;dietary_indiscretion_mild,2.32
cot_e5_fichas_top3,dev,llama3.2-3b,p51,kennel_cough_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,kennel_cough_mild;vomiting_and_diarrhea;dietary_indiscretion_mild,2.20
cot_e5_fichas_top3,dev,llama3.2-3b,p52,mild_conjunctivitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,mild_conjunctivitis;ocular_emergency;respiratory_distress,2.47
cot_e5_fichas_top3,dev,llama3.2-3b,p53,normal_whelping,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,normal_whelping;dystocia;dietary_indiscretion_mild,1.82
cot_e5_fichas_top3,dev,llama3.2-3b,p54,tremors_without_seizure,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;seizures;gastric_dilatation_volvulus,2.30
cot_e5_fichas_top3,dev,llama3.2-3b,p55,mild_lameness,par_confuso,NAO_EMERGENCIA,EMERGENCIA,mild_lameness;dietary_indiscretion_mild;trauma_and_bleeding,2.42
cot_e5_fichas_top3,dev,llama3.2-3b,p56,flea_dermatitis_pruritus,controle_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,flea_dermatitis_pruritus;dietary_indiscretion_mild;pyometra,4.01
cot_e5_fichas_top3,dev,llama3.2-3b,p57,reduced_appetite_no_other_signs,controle_leve,NAO_EMERGENCIA,EMERGENCIA,dietary_indiscretion_mild;reduced_appetite_no_other_signs;gastric_dilatation_volvulus,2.30
cot_e5_fichas_top3,dev,llama3.2-3b,p58,cat_bite_abscess,controle_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,cat_bite_abscess;rabies_exposure_wild_animal_bite;dietary_indiscretion_mild,2.48
cot_e5_fichas_top3,dev,llama3.2-3b,p59,polyuria_polydipsia_investigate,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,polyuria_polydipsia_investigate;inappropriate_urination_or_cystitis;urethral_obstruction,5.29
cot_e5_fichas_top3,dev,llama3.2-3b,p60,minor_wound,controle_leve,NAO_EMERGENCIA,EMERGENCIA,trauma_and_bleeding;minor_wound;mild_lameness,2.79
cot_e5_fichas_top3,dev,llama3.2-3b,p61,periodontal_disease_mild,controle_leve,NAO_EMERGENCIA,INCERTO,periodontal_disease_mild;dietary_indiscretion_mild;acute_hindlimb_paralysis,4.42
cot_e5_fichas_top3,dev,llama3.2-3b,p62,slow_growing_lump,controle_leve,NAO_EMERGENCIA,INCERTO,gastric_dilatation_volvulus;dietary_indiscretion_mild;rabies_exposure_wild_animal_bite,3.88
cot_e5_fichas_top3,dev,llama3.2-3b,p63,rabies_exposure_wild_animal_bite,alarme_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,rabies_exposure_wild_animal_bite;toad_bufotoxin_poisoning;anaphylaxis_facial_swelling,4.70
cot_e5_fichas_top3,dev,llama3.2-3b,p64,ticks_found_no_signs,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,ticks_found_no_signs;flea_dermatitis_pruritus;pyometra,4.49
cot_e5_fichas_top3,dev,llama3.2-3b,p65,exertional_panting_mild,par_confuso,NAO_EMERGENCIA,EMERGENCIA,canine_heatstroke;exertional_panting_mild;polyuria_polydipsia_investigate,4.53
cot_e5_fichas_top3,dev,llama3.2-3b,p66,,fora_do_mapa,NAO_EMERGENCIA,EMERGENCIA,chocolate_toxicosis;hypoglycemia_toy_puppy;dietary_indiscretion_mild,5.37
cot_e5_fichas_top3,dev,llama3.2-3b,p67,,fora_do_mapa,NAO_EMERGENCIA,INCERTO,rabies_exposure_wild_animal_bite;dystocia;inappropriate_urination_or_cystitis,3.03
cot_e5_fichas_top3,dev,llama3.2-3b,p68,,informacao_insuficiente,INCERTO,EMERGENCIA,seizures;canine_heatstroke;dietary_indiscretion_mild,3.46
cot_e5_fichas_top3,dev,qwen3-8b,p19,chocolate_toxicosis,controle_emergencia,EMERGENCIA,EMERGENCIA,chocolate_toxicosis;dietary_indiscretion_mild;gastric_dilatation_volvulus,21.55
cot_e5_fichas_top3,dev,qwen3-8b,p20,allium_toxicosis,par_confuso,EMERGENCIA,EMERGENCIA,allium_toxicosis;collapse_and_pale_gums;respiratory_distress,6.60
cot_e5_fichas_top3,dev,qwen3-8b,p21,respiratory_distress,par_confuso,EMERGENCIA,EMERGENCIA,respiratory_distress;mild_upper_respiratory_signs;urethral_obstruction,6.65
cot_e5_fichas_top3,dev,qwen3-8b,p22,seizures,par_confuso,EMERGENCIA,EMERGENCIA,seizures;dietary_indiscretion_mild;urethral_obstruction,4.40
cot_e5_fichas_top3,dev,qwen3-8b,p23,trauma_and_bleeding,par_confuso,EMERGENCIA,EMERGENCIA,trauma_and_bleeding;minor_wound;burns_and_electrical_injury,5.21
cot_e5_fichas_top3,dev,qwen3-8b,p24,urethral_obstruction,par_confuso,EMERGENCIA,EMERGENCIA,urethral_obstruction;inappropriate_urination_or_cystitis;gastric_dilatation_volvulus,4.87
cot_e5_fichas_top3,dev,qwen3-8b,p25,vomiting_and_diarrhea,controle_emergencia,EMERGENCIA,EMERGENCIA,vomiting_and_diarrhea;reduced_appetite_no_other_signs;seizures,6.05
cot_e5_fichas_top3,dev,qwen3-8b,p26,canine_heatstroke,par_confuso,EMERGENCIA,EMERGENCIA,canine_heatstroke;collapse_and_pale_gums;gastric_dilatation_volvulus,4.45
cot_e5_fichas_top3,dev,qwen3-8b,p27,gastric_dilatation_volvulus,calma_grave,EMERGENCIA,EMERGENCIA,gastric_dilatation_volvulus;diabetic_ketoacidosis;dietary_indiscretion_mild,4.83
cot_e5_fichas_top3,dev,qwen3-8b,p28,fading_neonate,controle_emergencia,EMERGENCIA,EMERGENCIA,fading_neonate;canine_heatstroke;dystocia,6.02
cot_e5_fichas_top3,dev,qwen3-8b,p29,acute_hindlimb_paralysis,par_confuso,EMERGENCIA,EMERGENCIA,acute_hindlimb_paralysis;osteoarthritis_stiffness;seizures,6.80
cot_e5_fichas_top3,dev,qwen3-8b,p30,anticoagulant_rodenticide_poisoning,controle_emergencia,EMERGENCIA,EMERGENCIA,anticoagulant_rodenticide_poisoning;permethrin_toxicosis_cats;lily_toxicosis_cats,5.06
cot_e5_fichas_top3,dev,qwen3-8b,p31,human_medication_poisoning,controle_emergencia,EMERGENCIA,EMERGENCIA,human_medication_poisoning;allium_toxicosis;anticoagulant_rodenticide_poisoning,4.54
cot_e5_fichas_top3,dev,qwen3-8b,p32,anaphylaxis_facial_swelling,par_confuso,EMERGENCIA,EMERGENCIA,anaphylaxis_facial_swelling;canine_heatstroke;flea_dermatitis_pruritus,6.60
cot_e5_fichas_top3,dev,qwen3-8b,p33,congestive_heart_failure,par_confuso,EMERGENCIA,INCERTO,gastric_dilatation_volvulus;canine_heatstroke;congestive_heart_failure,3.43
cot_e5_fichas_top3,dev,qwen3-8b,p34,collapse_and_pale_gums,controle_emergencia,EMERGENCIA,EMERGENCIA,collapse_and_pale_gums;respiratory_distress;allium_toxicosis,5.78
cot_e5_fichas_top3,dev,qwen3-8b,p35,parvovirus_panleukopenia,controle_emergencia,EMERGENCIA,EMERGENCIA,parvovirus_panleukopenia;vomiting_and_diarrhea;reduced_appetite_no_other_signs,6.04
cot_e5_fichas_top3,dev,qwen3-8b,p36,ocular_emergency,par_confuso,EMERGENCIA,EMERGENCIA,ocular_emergency;mild_conjunctivitis;anaphylaxis_facial_swelling,5.28
cot_e5_fichas_top3,dev,qwen3-8b,p37,permethrin_toxicosis_cats,controle_emergencia,EMERGENCIA,EMERGENCIA,permethrin_toxicosis_cats;carbamate_organophosphate_poisoning;tremors_without_seizure,3.78
cot_e5_fichas_top3,dev,qwen3-8b,p38,gastrointestinal_foreign_body,controle_emergencia,EMERGENCIA,EMERGENCIA,lily_toxicosis_cats;diabetic_ketoacidosis;gastrointestinal_foreign_body,3.16
cot_e5_fichas_top3,dev,qwen3-8b,p39,airway_foreign_body_choking,controle_emergencia,EMERGENCIA,EMERGENCIA,dietary_indiscretion_mild;flea_dermatitis_pruritus;seizures,6.21
cot_e5_fichas_top3,dev,qwen3-8b,p40,dystocia,par_confuso,EMERGENCIA,EMERGENCIA,urethral_obstruction;dystocia;normal_whelping,5.41
cot_e5_fichas_top3,dev,qwen3-8b,p41,distemper_neurological,controle_emergencia,EMERGENCIA,EMERGENCIA,hypoglycemia_toy_puppy;dietary_indiscretion_mild;parvovirus_panleukopenia,3.29
cot_e5_fichas_top3,dev,qwen3-8b,p42,hypoglycemia_toy_puppy,controle_emergencia,EMERGENCIA,EMERGENCIA,fading_neonate;hypoglycemia_toy_puppy;dietary_indiscretion_mild,4.55
cot_e5_fichas_top3,dev,qwen3-8b,p43,eclampsia,controle_emergencia,EMERGENCIA,EMERGENCIA,eclampsia;pyometra;dystocia,5.79
cot_e5_fichas_top3,dev,qwen3-8b,p44,dietary_indiscretion_mild,par_confuso,NAO_EMERGENCIA,EMERGENCIA,allium_toxicosis;dietary_indiscretion_mild;flea_dermatitis_pruritus,3.50
cot_e5_fichas_top3,dev,qwen3-8b,p45,mild_upper_respiratory_signs,par_confuso,NAO_EMERGENCIA,INCERTO,mild_upper_respiratory_signs;respiratory_distress;dietary_indiscretion_mild,5.85
cot_e5_fichas_top3,dev,qwen3-8b,p46,inappropriate_urination_or_cystitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,inappropriate_urination_or_cystitis;urethral_obstruction;dietary_indiscretion_mild,3.59
cot_e5_fichas_top3,dev,qwen3-8b,p47,otitis_externa_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,seizures;dietary_indiscretion_mild;hypoglycemia_toy_puppy,2.83
cot_e5_fichas_top3,dev,qwen3-8b,p48,single_vomiting_or_mild_diarrhea,alarme_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;gastric_dilatation_volvulus;toad_bufotoxin_poisoning,3.12
cot_e5_fichas_top3,dev,qwen3-8b,p49,osteoarthritis_stiffness,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,osteoarthritis_stiffness;kennel_cough_mild;canine_heatstroke,3.44
cot_e5_fichas_top3,dev,qwen3-8b,p50,insect_sting_local_reaction,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,anaphylaxis_facial_swelling;canine_heatstroke;dietary_indiscretion_mild,3.35
cot_e5_fichas_top3,dev,qwen3-8b,p51,kennel_cough_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,kennel_cough_mild;vomiting_and_diarrhea;dietary_indiscretion_mild,3.29
cot_e5_fichas_top3,dev,qwen3-8b,p52,mild_conjunctivitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,mild_conjunctivitis;ocular_emergency;respiratory_distress,3.04
cot_e5_fichas_top3,dev,qwen3-8b,p53,normal_whelping,par_confuso,NAO_EMERGENCIA,EMERGENCIA,normal_whelping;dystocia;dietary_indiscretion_mild,3.63
cot_e5_fichas_top3,dev,qwen3-8b,p54,tremors_without_seizure,par_confuso,NAO_EMERGENCIA,INCERTO,dietary_indiscretion_mild;seizures;gastric_dilatation_volvulus,2.99
cot_e5_fichas_top3,dev,qwen3-8b,p55,mild_lameness,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,mild_lameness;dietary_indiscretion_mild;trauma_and_bleeding,3.78
cot_e5_fichas_top3,dev,qwen3-8b,p56,flea_dermatitis_pruritus,controle_leve,NAO_EMERGENCIA,INCERTO,flea_dermatitis_pruritus;dietary_indiscretion_mild;pyometra,4.84
cot_e5_fichas_top3,dev,qwen3-8b,p57,reduced_appetite_no_other_signs,controle_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;reduced_appetite_no_other_signs;gastric_dilatation_volvulus,3.37
cot_e5_fichas_top3,dev,qwen3-8b,p58,cat_bite_abscess,controle_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,cat_bite_abscess;rabies_exposure_wild_animal_bite;dietary_indiscretion_mild,3.58
cot_e5_fichas_top3,dev,qwen3-8b,p59,polyuria_polydipsia_investigate,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,polyuria_polydipsia_investigate;inappropriate_urination_or_cystitis;urethral_obstruction,3.41
cot_e5_fichas_top3,dev,qwen3-8b,p60,minor_wound,controle_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,trauma_and_bleeding;minor_wound;mild_lameness,7.02
cot_e5_fichas_top3,dev,qwen3-8b,p61,periodontal_disease_mild,controle_leve,NAO_EMERGENCIA,INCERTO,periodontal_disease_mild;dietary_indiscretion_mild;acute_hindlimb_paralysis,6.12
cot_e5_fichas_top3,dev,qwen3-8b,p62,slow_growing_lump,controle_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,gastric_dilatation_volvulus;dietary_indiscretion_mild;rabies_exposure_wild_animal_bite,3.21
cot_e5_fichas_top3,dev,qwen3-8b,p63,rabies_exposure_wild_animal_bite,alarme_leve,NAO_EMERGENCIA,EMERGENCIA,rabies_exposure_wild_animal_bite;toad_bufotoxin_poisoning;anaphylaxis_facial_swelling,3.53
cot_e5_fichas_top3,dev,qwen3-8b,p64,ticks_found_no_signs,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,ticks_found_no_signs;flea_dermatitis_pruritus;pyometra,3.34
cot_e5_fichas_top3,dev,qwen3-8b,p65,exertional_panting_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,canine_heatstroke;exertional_panting_mild;polyuria_polydipsia_investigate,3.06
