id,quadro,sistema,especie,classe,urgencia,sinais_que_o_tutor_relata,discriminador,par_de_confusao,motivo,referencias,prioridade,etapa,cobertura,validacao,observacoes
acute_hindlimb_paralysis,Paralisia aguda das patas traseiras,neurologico,ambos,emergencia,imediato,amanheceu sem levantar as patas de tras;arrastando;gritando de dor;nao sente as patas;fez xixi sem querer,Foi subito? Perdeu o controle das patas ou do xixi? O gato esta gritando e ofegante?,osteoarthritis_stiffness,Caso b17; fontes abertas cobrem tromboembolismo e neuromiopatia isquemica em gato e cao; outras causas seguem pendentes,R09;R08;R16;R31;R49;R51,A,1,fonte_aprovada,validada:asavet:16/09,"Em gato, suspeitar de tromboembolismo aortico"
carbamate_organophosphate_poisoning,Intoxicacao por chumbinho e inseticidas agricolas,toxicologico,ambos,emergencia,imediato,babando muito;tremendo;convulsao;pupila pequena;diarreia;xixi solto;respiracao dificil,"Teve acesso a quintal, rua ou isca de veneno? Esta babando e tremendo ao mesmo tempo?",dietary_indiscretion_mild,"Metade das intoxicacoes em gatos no HOVET-USP, 46 de 96 casos por chumbinho; e o eixo toxico brasileiro que nenhuma lista estrangeira traria",R21;R22;R24;R19;R42,A,1,fonte_aprovada,validada:asavet:14/09,Brasil; frequentemente de origem criminosa; tem antidoto
anticoagulant_rodenticide_poisoning,Intoxicacao por raticida anticoagulante,toxicologico,ambos,emergencia,imediato,comeu veneno de rato;sangramento pelo nariz;manchas roxas na pele;gengiva palida;tosse com sangue;fraqueza,"Teve acesso a veneno de rato, mesmo que ainda nao esteja passando mal?",dietary_indiscretion_mild,"De 8% a 16% das intoxicacoes nas casuisticas brasileiras; tem antidoto, e o atraso e que mata, porque o sangramento so aparece dias depois",R19;R20;R12;R31;R44,A,1,fonte_aprovada,validada:asavet:16/09,Ir mesmo sem sinal: a janela do antidoto e antes do sangramento
human_medication_poisoning,Intoxicacao por medicamento humano,toxicologico,ambos,emergencia,imediato,dei remedio de gente;dei dipirona;dei paracetamol;dei anti-inflamatorio;lingua ou gengiva arroxeada;rosto inchado;vomitando,"Qual remedio, qual dose e ha quanto tempo? E gato? Em gato, um quarto de comprimido de paracetamol pode matar",,Medicamento e a primeira causa de intoxicacao em caes (diclofenaco) e a segunda em gatos no HOVET-USP; nos casos felinos de paracetamol o tutor administrou por conta propria,R21;R22;R15;R17;R41,A,1,fonte_aprovada,validada:asavet:14/09,Brasil: dipirona e diclofenaco sao de balcao
anaphylaxis_facial_swelling,Reacao alergica grave com inchaco de face,pele_e_ouvido,ambos,emergencia,imediato,foi picado por abelha;focinho inchando rapido;olhos inchados;carocos pelo corpo;cocando muito;respiracao barulhenta,O inchaco esta crescendo e chegou ao focinho ou pescoco? Ha dificuldade de respirar ou colapso?,flea_dermatitis_pruritus,"Caso b16 da regua; na casuistica felina da USP uma picada de marimbondo levou a obito por anafilaxia; o risco e de via aerea, nao de pele",R21;R15;R10;R50,A,1,fonte_aprovada,validada:asavet:16/09,Fonte experimental centrada em picadas; outras causas seguem pendentes
pyometra,Piometra,reprodutivo,ambos,emergencia,imediato,femea nao castrada;saiu pus pela vulva;bebendo muita agua;apatica;nao come;barriga inchada;teve cio ha cerca de um mes,Ela e castrada? Teve cio ha poucas semanas? O corrimento e branco ou purulento?,normal_estrus,As fontes sao unanimes em tratar como emergencia e nao como zona cinzenta; a baixa taxa de castracao no Brasil torna o quadro frequente,R16;R08;R31;R46;R47,A,1,fonte_aprovada,validada:asavet:16/09,Pode progredir a choque; tipicamente 4 a 6 semanas apos o cio
single_vomiting_or_mild_diarrhea,Vomito isolado ou fezes moles em animal ativo,digestivo,ambos,pode_esperar,rotina,vomitou uma vez;fezes moles;comendo normal;brincando;bola de pelo,Continua comendo e ativo? Sai conteudo quando vomita? Tem sangue? Passou de 24 horas?,vomiting_and_diarrhea;gastric_dilatation_volvulus;parvovirus_panleukopenia;gastrointestinal_foreign_body,Fezes amolecidas isoladas sao nivel rotina no MSD e a maioria das gastroenterites leves melhora em 1 a 2 dias,R07;R16;R15,A,1,fonte_encontrada,rascunho,Par do quadro mais frequente do pronto-socorro
dietary_indiscretion_mild,"Comeu algo fora da dieta, sem sinais",digestivo,ambos,pode_esperar,ate_24h,comeu uma sobra;mexeu no lixo;comeu um pedacinho;esta normal;comendo e brincando,"O que comeu, quanto, ha quanto tempo e qual o peso do animal? Raticida e chumbinho nunca esperam; chocolate depende do calculo",chocolate_toxicosis;allium_toxicosis;carbamate_organophosphate_poisoning;anticoagulant_rodenticide_poisoning,"E o lado leve do eixo toxico: sem ele, todo relato de comeu algo vira emergencia",R32;R15;R11;R52,A,1,fonte_aprovada,validada:asavet:17/09,"Zona cinzenta: a dose e a substancia decidem, e quem calcula e o veterinario. Fonte nova cobre diarreia associada a indiscricao alimentar em caes, nao autoriza classificar ingestao desconhecida como segura"
mild_upper_respiratory_signs,Espirro e coriza leves,respiratorio,ambos,pode_esperar,rotina,espirrando de vez em quando;nariz escorrendo;espirro esquisito que passa sozinho;comendo bem;brincando,"Ha esforco para respirar, boca aberta ou gengiva azulada? O gato parou de comer ou beber?",respiratory_distress,Casos b05 e b18 da regua; o espirro reverso e inofensivo mas assusta o tutor,R07;R15;R17;R53,A,1,fonte_aprovada,validada:asavet:17/09,"Fonte nova cobre gatos e e fortemente baseada em abrigos; nao estabelece o limiar seguro para esperar"
tremors_without_seizure,Tremor sem convulsao,neurologico,ambos,pode_esperar,rotina,tremendo de frio;tremendo de medo;acordado e me olhando;anda normal,"Perdeu a consciencia, caiu de lado, pedalou ou babou? Durou mais de 2 minutos? O gato teve contato com antipulgas de cao?",seizures;permethrin_toxicosis_cats;hypoglycemia_toy_puppy;carbamate_organophosphate_poisoning,"Esta tremendo e a mesma palavra para susto e para convulsao; sem o par, todo tremor vira emergencia",R16;R17,B,1,sem_documento,rascunho,Filhote de raca toy tremendo e outro quadro
mild_lameness,Claudicacao leve,musculoesqueletico_e_trauma,ambos,pode_esperar,ate_24h,mancando de leve;ainda apoia a pata;depois de correr;sem inchaco;comendo normal,Apoia a pata no chao? A perna esta inchada ou em angulo estranho? Grita ao toque?,trauma_and_bleeding,"Caso b10 da regua; claudicacao por mais de 24 horas e nivel 24 horas no MSD, nao pronto-socorro",R07;R16;R54,A,1,fonte_aprovada,validada:asavet:17/09,"Fonte nova cobre apenas caes e claudicacao experimental com apoio; nao define prazo de atendimento"
inappropriate_urination_or_cystitis,Xixi fora do lugar e cistite,urinario,ambos,pode_esperar,ate_24h,fazendo xixi fora da caixa;xixi com um pouco de sangue;indo mais vezes ao banheiro;a urina sai em quantidade normal;sem esforco;sem dor aparente,"A urina sai em quantidade normal e sem esforco? Gato que faz forca ou solta so um pouco vai agora, mesmo que ainda saia algo: nenhuma fonte admite esperar para ver se melhora",urethral_obstruction,"E o par de maior letalidade do mapa, porque as duas situacoes usam as mesmas palavras do tutor; a cistite idiopatica felina resolve em cerca de duas semanas, mas so quando o gato esta urinando",R11;R16;R55,A,1,fonte_aprovada,validada:asavet:17/09,"Regra conservadora mantida; fonte nova cobre gatos e mostra que os mesmos sinais tem causas diferentes, sem autorizar espera diante de esforco urinario"
osteoarthritis_stiffness,Rigidez de artrose em idoso,musculoesqueletico_e_trauma,ambos,pode_esperar,rotina,custa a levantar;melhora depois que anda;nao sobe mais no sofa;devagar ha meses,Foi subito ou vem piorando devagar? Perdeu o controle das patas ou do xixi? Esta gritando de dor?,acute_hindlimb_paralysis,Afeta ao menos 80% dos caes acima de 8 anos; nao consegue levantar e a mesma frase para artrose e para paralisia aguda,R15;R10,A,1,sem_documento,rascunho,Melhorar com o movimento e o sinal de que e cronico
flea_dermatitis_pruritus,Coceira e dermatite,pele_e_ouvido,ambos,pode_esperar,rotina,se cocando muito;casquinha na pele;perdendo pelo;cocando a orelha;comendo bem,O inchaco esta crescendo e pegou o focinho ou o pescoco? Ha carocos pelo corpo? A respiracao mudou?,anaphylaxis_facial_swelling,"Caso b09 da regua; a dermatite alergica a pulga e a causa numero 1 de problema alergico de pele, e coceira moderada e nivel rotina no MSD",R15;R07;R16,A,1,sem_documento,rascunho,
normal_estrus,Cio normal,reprodutivo,cao,pode_esperar,rotina,sangramento pela vulva;vulva inchada;mais carente;atraindo machos;ativa e comendo,Ela esta castrada? O corrimento e sangue ou pus branco? Esta apatica ou bebendo muito?,pyometra,Sangramento vulvar normal e piometra usam a mesma palavra do tutor; corrimento branco sempre deve ser checado,R16;R08,B,1,sem_documento,rascunho,O cio dura de 16 a 18 dias
collapse_and_pale_gums,Colapso e gengiva palida,cardiovascular,ambos,emergencia,imediato,desmaiou;caiu e nao levanta;gengiva branca ou muito palida;respiracao rapida;frio;barriga inchou de repente;muito fraco de uma hora para outra,Esta consciente e responde? A gengiva esta rosada ou branca e azulada? Voltou ao normal em segundos ou continua fraco?,reduced_appetite_no_other_signs;osteoarthritis_stiffness,"Letargia esta entre as cinco queixas mais frequentes do pronto-socorro nas duas especies e gengiva palida e item proprio da lista da AAHA; e o sinal transversal de choque, hemorragia interna e anemia grave",R03;R09;R12;R15;R16,A,1,sem_documento,rascunho,"Cobre hemoabdome, anemia hemolitica e hemoparasitose. Massa esplenica rota so tem fonte fraca; o sinal generico esta bem sustentado"
parvovirus_panleukopenia,Parvovirose e panleucopenia,digestivo,ambos,emergencia,imediato,filhote;nao vacinado ou vacina incompleta;vomitando;diarreia com sangue;cheiro muito forte;nao come;apatico;desidratado,E filhote? As vacinas estao completas? A diarreia tem sangue ou cheiro muito forte? Esta prostrado?,single_vomiting_or_mild_diarrhea;reduced_appetite_no_other_signs,"Soroprevalencia de parvovirus de 68,7% em Santa Maria e 68% dos casos de panleucopenia com menos de 1 ano; desidrata e mata em horas, e a pergunta da vacina e a que o tutor sabe responder",R25;R26;R29;R11;R15;R45,A,1,fonte_aprovada,validada:asavet:16/09,Brasil; sazonalidade de outubro a abril; ligada a cobertura vacinal
ocular_emergency,Emergencia ocular,olhos,ambos,emergencia,imediato,olho saltado para fora;olho fechado e apertando;esfregando o olho;olho opaco ou azulado;pupila muito grande;esbarrando nas coisas;olho machucado em briga,O olho esta fechado ou apertado de dor? Saltou da orbita? Ficou opaco ou azulado? Ele enxerga?,mild_conjunctivitis,"Lesao ocular e item proprio na lista da AAHA; ulcera profunda, glaucoma agudo e proptose custam o olho em horas",R09;R15;R08,B,1,sem_documento,rascunho,Braquicefalicos podem ter proptose com trauma leve
mild_conjunctivitis,Conjuntivite leve,olhos,ambos,pode_esperar,ate_24h,olho vermelho;lacrimejando;remela;sem inchaco;olho aberto;enxerga normal;comendo e brincando,O olho esta aberto ou fechado e apertado? Esta opaco? Ele esfrega ou parece com dor? Houve pancada ou briga?,ocular_emergency,"Caso b11 da regua; olho vermelho sem dor e sem opacidade tende a resolver rapido com tratamento, mas olho e area onde pode esperar significa consulta esta semana, nunca observar em casa",R16;R15;R07;R56;R57,A,1,fonte_aprovada,validada:asavet:17/09,"R56 aprovada cobre conjuntivite alergica em caes; R57 aprovada cobre C. felis em gatos; nenhuma representa todas as causas nem exclui emergencia ocular"
reduced_appetite_no_other_signs,"Comendo menos, sem outros sinais",digestivo,ambos,pode_esperar,ate_24h,comendo menos;recusou uma refeicao;bebendo agua;ativo;sem vomito;sem diarreia,"E gato? Ha quantas horas exatamente sem comer? E filhote? Tem vomito, apatia ou dor junto?",vomiting_and_diarrhea;parvovirus_panleukopenia;collapse_and_pale_gums,"Falta de apetite sem nenhum outro sinal e nivel rotina no MSD para cao, mas em gato adulto 24 horas ja pesa e em filhote com menos de 6 semanas 12 horas pode ser letal",R07;R11;R16,A,1,sem_documento,rascunho,"A urgencia muda com a especie e a idade: candidata a virar duas linhas apos validacao. E o lado leve de oito termos do dataset (letargia, cansaco, apatia)"
permethrin_toxicosis_cats,Intoxicacao por permetrina em gato,toxicologico,gato,emergencia,imediato,passei antipulgas de cachorro no gato;tremendo muito;convulsao;andando estranho;salivando;o gato dorme junto com o cao que tomou antipulgas,O produto era de cao? O gato teve contato com um cao recem-tratado? Mesmo pouca quantidade adoece gravemente e nao ha antidoto,tremors_without_seizure,"Erro domestico comum em casa com cao e gato; seis casos na casuistica felina da USP, e a contaminacao pode ser indireta, so pelo contato com o cao tratado",R17;R21;R43,A,1,fonte_aprovada,validada:asavet:14/09,Brasil; unica linha da etapa 1 exclusiva de gato. O tutor costuma nao suspeitar do produto que ele mesmo aplicou
gastrointestinal_foreign_body,Corpo estranho no tubo digestivo,digestivo,ambos,emergencia,imediato,,,single_vomiting_or_mild_diarrhea,"Corpo estranho linear em gato (barbante, fio, fita) causa necrose intestinal em poucas horas",R15;R31,A,2,sem_documento,rascunho,O tutor costuma relatar como vomito repetido
airway_foreign_body_choking,Engasgo com obstrucao de via aerea,respiratorio,ambos,emergencia,imediato,,,mild_upper_respiratory_signs,Primeiros socorros de engasgo aparecem em todas as listas para tutores consultadas,R08;R13;R12,B,2,sem_documento,rascunho,
dystocia,Distocia (parto dificil),reprodutivo,ambos,emergencia,imediato,,,normal_whelping,Mais de 30 minutos de esforco sem sair filhote ou mais de 2 horas entre filhotes; subcategoria obstetrica da VTL,R10;R32;R01,B,2,sem_documento,rascunho,
snake_and_scorpion_envenomation,"Acidente com cobra, escorpiao ou aranha",toxicologico,ambos,emergencia,imediato,,,,"Acidente ofidico responde por 3% das intoxicacoes na casuistica da UFF; nao e de notificacao compulsoria em animais, entao a casuistica real e desconhecida",R20;R08,B,2,sem_documento,rascunho,Escorpiao e aranha: sem casuistica brasileira publicada encontrada
distemper_neurological,Cinomose com sinais neurologicos,neurologico,cao,emergencia,imediato,,,tremors_without_seizure,"Soroprevalencia de 27,3% no Rio Grande do Sul; principal causa infecciosa neurologica, com mioclonia em 80% dos casos",R26;R28,B,2,sem_documento,rascunho,Brasil; ligada a baixa cobertura vacinal
leptospirosis_acute,Leptospirose aguda,metabolico,cao,emergencia,imediato,,,,"43% de positividade entre suspeitos no HVU-UFPI; ictericia e febre aguda, com risco zoonotico direto ao tutor",R27,B,2,sem_documento,rascunho,Brasil; o alerta ao tutor tem componente de saude publica
tick_borne_disease_anemia,Doenca do carrapato com anemia,cardiovascular,cao,emergencia,imediato,,,ticks_found_no_signs,"Erliquiose e babesiose sao frequentes no Brasil e chegam ao pronto-socorro como anemia grave; nao encontrei artigo primario, so um TCC",SEM_FONTE,C,2,sem_documento,rascunho,Procurar em Revista Brasileira de Parasitologia Veterinaria antes de subir de etapa
congestive_heart_failure,Insuficiencia cardiaca descompensada,cardiovascular,ambos,emergencia,imediato,,,kennel_cough_mild,Tosse noturna com esforco respiratorio em cao com sopro conhecido; edema pulmonar e emergencia,R15;R31,B,2,sem_documento,rascunho,
hypoglycemia_toy_puppy,Hipoglicemia em filhote de raca pequena,metabolico,cao,emergencia,imediato,,,tremors_without_seizure,"Tremor, fraqueza e convulsao em filhote de raca toy com menos de 3 meses, precipitados por jejum, frio ou estresse; a fonte veterinaria de referencia existe mas esta atras de bloqueio",R38;R31,B,2,sem_documento,rascunho,Abrir R38 no navegador antes de virar documento; Brasil tem muitas racas toy
diabetic_ketoacidosis,Cetoacidose diabetica,metabolico,ambos,emergencia,imediato,,,polyuria_polydipsia_investigate,Bebe muito e urina muito somado a vomito e prostracao deixa de ser zona cinzenta,R31,B,2,sem_documento,rascunho,
feline_aortic_thromboembolism,Tromboembolismo aortico felino,cardiovascular,gato,emergencia,imediato,,,osteoarthritis_stiffness,"Gato arrastando as patas traseiras, gritando, com respiracao rapida; inicio muito subito",R16;R09,B,2,sem_documento,rascunho,Pode ser registrado junto de acute_hindlimb_paralysis na validacao
vestibular_syndrome_otitis_interna,Sindrome vestibular,neurologico,ambos,emergencia,imediato,,,otitis_externa_mild,"Cabeca torta, desequilibrio e olhos tremendo de inicio subito; o tutor nao distingue a forma periferica da central, que pode ser vascular ou tumoral",R15;R31,C,2,sem_documento,rascunho,A forma idiopatica melhora sozinha em 7 a 10 dias: candidata a reclassificacao pelos especialistas
cat_bite_abscess,Ferida de briga de gato,pele_e_ouvido,gato,pode_esperar,ate_24h,,,,"Feridas tratadas em ate 6 horas tem a melhor chance de cicatrizar sem abscesso; a janela e de mesmo dia, nao de pronto-socorro",R15,B,2,sem_documento,rascunho,Zona cinzenta: a janela de 6 horas e um discriminador de tempo raro e vale codificar
high_rise_syndrome_cats,Queda de altura em gato,musculoesqueletico_e_trauma,gato,emergencia,imediato,,,mild_lameness,Gato que caiu e parece bem ainda precisa ir: lesoes pulmonares e de orgaos internos levam horas ou dias para dar sinais,R35,B,2,sem_documento,rascunho,"Fonte e hospital, nao manual de referencia; confirmar antes de virar documento"
burns_and_electrical_injury,Queimadura e choque eletrico,ambiental,ambos,emergencia,imediato,,,,"Queimaduras termicas, quimicas e eletricas estao nas listas de primeiros socorros; filhote que mordeu fio e apresentacao classica",R08;R13;R10,C,2,sem_documento,rascunho,
eclampsia,Eclampsia puerperal,reprodutivo,cao,emergencia,imediato,,,tremors_without_seizure,Tremores e rigidez em cadela amamentando; quadro classico de emergencia obstetrica,R31,C,2,sem_documento,rascunho,
lily_toxicosis_cats,Intoxicacao por lirio em gato,toxicologico,gato,emergencia,imediato,,,dietary_indiscretion_mild,"Menos de uma folha, o polen lambido do pelo ou a agua do vaso causam insuficiencia renal fatal; tratamento apos cerca de 18 horas costuma falhar",R17;R33;R12,B,2,sem_documento,rascunho,Verificar com os especialistas se lirios sao relevantes em casas brasileiras
grape_xylitol_toxicosis,"Intoxicacao por uva, passa ou xilitol",toxicologico,cao,emergencia,imediato,,,dietary_indiscretion_mild,Xilitol causa hipoglicemia extrema em 30 a 60 minutos; alimentos sao a segunda categoria do ASPCA,R32;R33;R15;R12,C,2,sem_documento,rascunho,Xilitol e menos comum em produtos brasileiros: confirmar relevancia local
toad_bufotoxin_poisoning,Envenenamento por sapo,toxicologico,cao,emergencia,imediato,,,dietary_indiscretion_mild,"Sapos do genero Rhinella estao em qualquer quintal brasileiro; o veneno age como digitalico e o relato da UFRGS descreve hipersalivacao, mucosas vermelhas, vomito, ansiedade e cegueira, com morte por arritmia",R37,B,2,sem_documento,rascunho,Brasil; o cao ataca o sapo e o veneno entra pela boca
normal_whelping,Parto normal,reprodutivo,ambos,pode_esperar,rotina,,,dystocia,"Intervalo de ate 2 horas entre filhotes e considerado normal; sem o par, todo parto vira emergencia",R10;R32,B,2,sem_documento,rascunho,
insect_sting_local_reaction,Picada de inseto com reacao local,pele_e_ouvido,ambos,pode_esperar,rotina,,,anaphylaxis_facial_swelling,"Inchaco pequeno no ponto da picada em animal ativo, sem progressao",R15;R12,B,2,sem_documento,rascunho,
kennel_cough_mild,Tosse dos canis leve,respiratorio,cao,pode_esperar,ate_24h,,,respiratory_distress;congestive_heart_failure,"Tosse seca apos contato social, com animal ativo e comendo; a maioria resolve em 7 a 10 dias",R15,B,2,sem_documento,rascunho,
polyuria_polydipsia_investigate,Bebe e urina mais que o normal,metabolico,ambos,pode_esperar,ate_24h,,,pyometra;diabetic_ketoacidosis,"Consumo excessivo de agua e nivel 24 horas no MSD; vira emergencia quando somado a piometra, colapso ou vomito persistente",R07;R16,B,2,sem_documento,rascunho,Zona cinzenta
otitis_externa_mild,Otite externa leve,pele_e_ouvido,ambos,pode_esperar,rotina,,,vestibular_syndrome_otitis_interna,Uma das infeccoes mais comuns em caes; balancar a cabeca e cocar a orelha sem desequilibrio,R15,B,2,sem_documento,rascunho,
minor_wound,Ferida superficial pequena,musculoesqueletico_e_trauma,ambos,pode_esperar,ate_24h,,,trauma_and_bleeding,Arranhao ou corte pequeno sem sangramento ativo; o MSD separa lesoes menores das emergencias,R08;R16,B,2,sem_documento,rascunho,
periodontal_disease_mild,Tartaro e mau halito,digestivo,ambos,pode_esperar,rotina,,,,Doenca periodontal afeta cerca de 80% dos caes e 70% dos gatos aos 3 anos; manejo eletivo,R32;R14,C,2,sem_documento,rascunho,Pode virar gatilho de anorexia em gato
slow_growing_lump,Caroco de crescimento lento,pele_e_ouvido,ambos,pode_esperar,rotina,,,collapse_and_pale_gums,"Nodulo ja avaliado que cresce devagar; sinais de alerta sao mudanca rapida de tamanho, textura ou sangramento",R15,C,2,sem_documento,rascunho,
exertional_panting_mild,Ofegacao apos exercicio,ambiental,cao,pode_esperar,rotina,,,canine_heatstroke;congestive_heart_failure,Ofegar e normal em cao; o par existe para separar termorregulacao de intermacao,R16,B,2,sem_documento,rascunho,
rabies_exposure_wild_animal_bite,Mordido por morcego ou animal silvestre,neurologico,ambos,pode_esperar,ate_24h,,,,"A raiva canina urbana nao tem caso desde 2019, mas caes e gatos seguem suscetiveis as variantes de morcego; a exposicao pede reforco vacinal, observacao e notificacao, e a pergunta chega ao tutor como susto",R39;R40,C,2,sem_documento,rascunho,"Brasil; o sistema responde pode esperar, mas a orientacao precisa incluir o servico de zoonoses. Termo Hydrophobia do dataset aponta para aqui"
ticks_found_no_signs,"Carrapatos no animal, sem sinais",pele_e_ouvido,ambos,pode_esperar,rotina,,,tick_borne_disease_anemia,Achado frequente no Brasil que preocupa o tutor; sem sinais clinicos e manejo preventivo,R36,C,2,sem_documento,rascunho,Brasil; o par grave e a hemoparasitose
